,UMAP1,UMAP2,cluster,cell_id,selected_cluster
0,1.1326321,0.4222186,13,40,13
1,0.62131184,2.4596903,15,43,0
2,1.1988902,1.3531342,3,44,0
3,6.5269723,2.4998007,31,45,0
4,6.5159993,2.6650453,31,48,31
5,5.1840587,1.3887831,30,49,0
6,1.6438584,2.6203852,37,51,0
7,5.5143847,0.071396455,27,52,0
8,0.03613226,2.2480328,38,54,0
9,1.8062545,-0.3787045,10,55,0
10,6.4034104,2.806283,31,61,0
11,5.198439,0.6847167,5,64,0
12,-0.1437672,2.1665187,38,65,0
13,0.19595268,1.796049,49,66,0
14,7.8195105,1.5072212,4,72,0
15,0.100913875,1.3099419,17,73,0
16,0.8371968,1.3187475,22,74,0
17,0.15172257,1.9830807,22,76,0
18,5.948121,1.1740679,7,77,0
19,1.2565762,1.2411999,3,78,0
20,1.4010408,0.18006857,13,79,0
21,3.0443516,-0.44547695,42,81,0
22,1.0597615,-0.061578095,12,82,0
23,7.170541,0.7912365,1,83,0
24,1.5939988,0.67111856,3,84,0
25,4.326769,0.67527777,35,85,0
26,6.920662,0.78522426,32,86,0
27,1.1629428,0.850038,3,89,0
28,-0.19089879,1.1938853,17,92,0
29,1.6533234,0.2700959,34,93,0
30,1.1212925,0.48481598,13,94,0
31,0.99525917,1.9964606,22,97,0
32,1.2072648,0.036679536,13,98,0
33,0.42512676,1.8271729,22,99,0
34,7.914891,2.3958814,36,100,0
35,8.143432,2.3745987,11,103,0
36,7.5004196,0.4074966,1,104,0
37,0.4903568,0.012349997,18,106,18
38,8.309206,2.4177523,28,107,0
39,0.71868664,0.6173503,43,110,0
40,8.139159,1.9589906,11,111,0
41,8.577421,2.3968222,28,112,0
42,6.90903,2.2676392,20,113,0
43,3.3869052,0.2559742,33,114,0
44,7.387505,1.0244918,1,115,0
45,9.072402,2.8443832,46,116,0
46,4.7638197,1.5011038,30,118,0
47,1.4198657,1.1672478,3,120,0
48,0.47078815,0.7715906,43,122,0
49,4.592019,1.6074328,47,123,0
50,3.226098,0.87564707,40,126,0
51,-0.2503903,1.239646,17,127,0
52,1.7005247,0.21004888,34,128,0
53,3.5738456,1.6655961,6,130,0
54,4.7129235,1.5826243,30,131,0
55,5.457973,0.10038851,5,133,0
56,0.59995645,0.8749335,43,136,43
57,8.24257,2.3286269,11,138,0
58,6.5881114,0.1035595,23,139,0
59,1.8499495,2.3669615,21,143,0
60,6.1302056,-0.13588695,27,144,0
61,5.398379,0.33227983,5,145,0
62,2.2971532,-0.67034066,10,147,0
63,4.6322026,-0.28522113,50,149,0
64,0.82210976,0.83049935,43,150,0
65,2.6193104,1.2877393,21,151,0
66,5.484879,1.1898437,30,152,0
67,7.1004887,0.7153503,32,153,0
68,8.135248,2.2438133,11,155,0
69,8.069817,2.3865466,11,156,0
70,1.7092799,1.6979247,21,158,0
71,5.5938597,1.978637,45,159,0
72,8.011253,1.6076612,11,160,0
73,1.2151177,2.0355525,22,161,0
74,0.2649562,0.23200333,18,162,0
75,0.3944476,0.8765171,43,163,0
76,-0.08425493,1.1734202,17,164,0
77,1.5847808,1.1578612,3,166,3
78,5.955279,2.0029387,45,168,0
79,8.273019,1.5053092,44,169,44
80,8.59805,2.8026402,28,173,0
81,4.8565197,1.5153003,30,176,0
82,3.675312,-0.96887165,26,535,0
83,4.1742463,1.2886343,47,558,47
84,0.7587733,2.626246,15,571,15
85,0.7855246,0.33543488,13,574,0
86,7.005538,1.8937478,4,575,0
87,1.2194608,1.9540845,22,585,0
88,6.272059,2.0937333,25,592,0
89,3.203299,1.8318177,6,597,0
90,0.8181945,2.0861833,22,600,0
91,3.372462,1.5155107,6,609,0
92,1.1446997,2.8598762,37,610,0
93,1.6630177,1.9878222,21,616,0
94,1.1169069,2.439249,15,621,0
95,1.1328372,1.9230906,22,627,0
96,2.0270498,0.27724963,34,631,0
97,0.5304337,1.6990905,22,642,0
98,0.62457293,2.1886067,22,643,0
99,0.1409764,1.4723179,49,644,0
100,2.0438192,0.677206,8,650,0
101,5.4514947,1.185841,30,659,0
102,2.9780595,1.7819158,6,661,0
103,0.5602375,2.4167058,15,662,0
104,1.865965,1.1698287,3,678,0
105,0.053527143,2.2068892,38,679,0
106,1.8671098,1.4971387,21,680,0
107,1.4282004,0.3647513,13,685,0
108,0.26712638,2.1453147,38,688,0
109,3.2244403,0.6434913,40,690,0
110,0.16291727,2.1677415,38,691,0
111,0.41677585,2.3183212,38,694,0
112,0.17334482,2.184579,38,695,0
113,5.308542,2.2520454,16,701,0
114,3.525455,0.76097316,40,704,0
115,2.339887,2.0840993,21,709,0
116,4.4037814,1.2273877,47,710,0
117,4.518579,1.2784306,47,714,0
118,0.14511378,2.1791027,38,719,0
119,1.2329798,2.1692958,22,725,0
120,0.26833108,2.193069,38,729,0
121,4.5953193,2.3899162,16,730,0
122,7.01503,2.622709,20,733,0
123,4.4657736,1.865967,16,738,0
124,1.0699922,2.5911655,15,741,0
125,-0.11626302,1.6190594,49,742,49
126,3.8670266,0.7391138,35,744,0
127,6.2507157,2.6689677,31,748,0
128,7.1227574,0.67562187,1,754,0
129,3.145958,1.5335599,6,758,0
130,2.6182485,-0.44909284,42,762,0
131,1.3393874,2.2797616,37,763,0
132,0.74040526,2.0976257,22,764,0
133,1.8360853,1.2923743,3,765,0
134,4.829443,1.393176,30,767,0
135,2.361227,2.1476052,21,769,0
136,0.85614586,1.9323951,22,772,22
137,0.7389932,2.249074,22,773,0
138,1.4025924,1.8853772,21,779,0
139,1.8052593,-0.020709967,34,783,0
140,0.39608833,2.0317426,22,784,0
141,3.9573824,1.1178092,47,785,0
142,6.6097775,0.912729,32,798,32
143,4.6554265,1.5477722,47,800,0
144,7.4399385,1.5616122,4,802,0
145,0.92591184,0.7064994,43,805,0
146,5.6969986,1.5324087,7,806,0
147,4.1192675,-0.9515292,14,807,0
148,8.473672,2.1139479,11,808,0
149,1.253595,1.5156426,3,810,0
150,6.736953,2.1609907,25,812,0
151,4.949916,-0.3670593,39,813,0
152,2.4588103,1.719443,21,815,0
153,1.5232139,2.9444835,37,817,0
154,4.19924,0.39869872,35,819,0
155,6.008525,1.9473282,45,822,0
156,4.625351,0.52943945,19,823,0
157,1.6484686,1.5515213,21,827,0
158,6.415589,1.0597626,32,829,0
159,0.39444813,2.01862,22,832,0
160,4.921834,-0.7663592,39,833,39
161,3.9974585,1.3610398,47,834,0
162,5.6875844,-0.0039458834,27,838,0
163,1.8372886,0.1934624,34,840,34
164,6.9833574,2.4648025,20,843,20
165,4.1145735,-0.6659722,50,845,0
166,8.038579,1.9876122,11,846,11
167,0.842208,1.6440129,22,848,0
168,4.1263394,-0.98354125,14,851,0
169,0.61632913,1.1649115,43,853,0
170,1.430739,1.9969412,21,854,0
171,0.9423847,2.6338968,15,856,0
172,4.1300097,-0.93228996,14,857,14
173,5.383348,1.2982683,30,859,0
174,0.9612356,1.982111,22,862,0
175,5.1182466,-0.19382347,19,865,0
176,0.7309653,2.748126,15,868,0
177,1.0346255,1.3320312,22,869,0
178,7.5295124,2.5295796,36,872,0
179,1.4666396,2.8813117,37,873,0
180,5.297942,0.50941736,5,876,0
181,6.4221344,0.37034276,23,878,0
182,7.645976,1.3273195,4,879,0
183,0.18390189,2.061827,38,880,0
184,5.1656194,-0.09122526,19,881,0
185,5.473651,0.070722595,27,882,0
186,1.4588956,1.8745399,21,885,0
187,1.060844,2.7297103,15,886,0
188,6.9707394,0.25044322,23,887,0
189,1.0257018,2.1876554,22,890,0
190,5.698489,0.48389444,5,891,5
191,6.5290318,2.5967965,31,892,0
192,5.510005,0.54053175,5,893,0
193,4.053884,0.2022493,35,894,0
194,0.72231305,1.5245818,22,895,0
195,6.802601,0.5400915,32,896,0
196,2.6138334,1.5398185,21,897,0
197,3.978276,-0.32755524,50,898,0
198,0.93339765,1.1214572,43,900,0
199,4.9816885,1.6160687,30,901,0
200,7.414395,2.8996205,36,903,0
201,1.5930866,2.5579388,37,904,0
202,1.2692566,2.7297678,37,905,0
