,UMAP1,UMAP2,cluster,cell_id,selected_cluster
0,2.495731,5.025583,8,158,8
1,1.7216071,5.390878,40,160,0
2,-0.02022633,7.523239,36,162,0
3,12.6760645,7.519894,44,175,0
4,1.8293285,5.743407,40,177,0
5,2.2596085,5.3193893,40,178,0
6,1.0647757,4.924013,10,180,0
7,3.46411,6.786244,50,181,0
8,1.5707743,5.2061043,40,183,0
9,1.7241642,4.6951833,29,188,0
10,-0.680972,7.445121,23,191,0
11,2.7038813,6.237938,15,195,0
12,3.4258378,5.0846124,45,197,0
13,1.9408363,4.959278,29,199,0
14,1.7832038,4.7833076,29,201,0
15,1.9040188,5.189426,40,204,0
16,-1.1275399,6.6086593,26,205,0
17,-0.071659364,6.8703036,3,207,0
18,3.2747986,5.343726,45,208,0
19,2.5180717,5.1942964,8,211,0
20,1.125028,4.9136143,10,212,0
21,1.9423904,4.842177,29,213,0
22,1.440226,4.7659674,29,214,0
23,2.1318486,4.78981,8,218,0
24,-0.56114215,6.940709,3,221,0
25,12.618099,8.143385,44,223,0
26,1.1839432,4.893846,29,229,0
27,0.740237,5.3918858,35,232,0
28,3.6263857,6.604608,50,234,0
29,11.254252,7.1876693,25,235,0
30,1.8959084,4.932245,29,236,0
31,3.463727,6.103884,28,238,0
32,11.809502,7.9009376,21,240,0
33,1.5332026,5.4451804,40,241,0
34,1.2712945,4.857366,29,242,0
35,2.014587,4.8363924,8,245,0
36,1.2372081,4.8491096,29,246,0
37,4.03522,6.486611,50,247,0
38,1.8019053,4.7403817,29,254,0
39,2.5031998,5.0345387,8,255,8
40,2.9464529,5.0530386,8,258,0
41,1.5861856,5.1767826,40,259,0
42,3.1986108,5.6230445,12,260,0
43,2.013061,4.86266,8,263,0
44,2.1297872,6.4269648,19,264,0
45,1.5809526,5.1259484,29,266,0
46,3.9491436,5.398163,49,267,0
47,11.968947,6.6888356,42,269,0
48,1.994512,5.265093,40,270,0
49,3.216845,5.4757442,45,272,0
50,10.987586,6.6417656,11,274,0
51,1.4399687,4.84534,29,275,0
52,1.9257568,5.728433,40,279,0
53,4.1701593,5.4280643,49,281,0
54,4.0058393,5.6119757,49,283,0
55,2.0592506,5.444187,40,289,0
56,1.6529293,4.854609,29,293,0
57,1.2592717,4.943224,29,294,0
58,2.342699,4.827972,8,296,0
59,2.1035426,4.997292,8,298,0
60,0.13116162,7.287607,36,301,0
61,0.27979523,5.3213844,35,302,0
62,13.111202,6.757222,1,305,0
63,3.4171796,5.772838,28,306,0
64,11.277816,7.376962,25,307,0
65,2.0311048,5.3381786,40,308,0
66,1.9425327,4.9519415,29,309,0
67,2.8742666,5.373934,12,310,0
68,-0.18712635,7.0899734,36,311,0
69,11.305065,5.9264016,18,314,0
70,1.8144869,6.200065,19,316,0
71,1.2563823,5.7505736,10,319,0
72,1.5168414,4.965711,29,321,0
73,0.0665453,7.3120103,36,323,0
74,1.6103972,4.9407444,29,326,0
75,1.9638573,6.0448627,19,327,0
76,0.16747324,6.4477773,3,328,0
77,1.5374129,5.2721214,40,331,0
78,3.4061615,6.778293,50,332,0
79,2.9724944,6.692765,15,335,0
80,2.3711693,4.8115845,8,336,0
81,1.8750128,4.9164357,29,337,0
82,-0.19934314,7.309503,36,341,0
83,3.5477974,5.422691,45,342,0
84,2.5464482,6.1245437,12,345,0
85,0.9446588,6.6239696,2,350,0
86,0.20843463,6.1243386,35,351,0
87,3.0634496,5.247742,45,355,0
88,0.5841132,6.1450014,35,357,0
89,1.1165578,5.0430245,10,359,0
90,1.332834,4.7676845,29,364,0
91,1.2465769,4.993764,10,367,0
92,1.4188408,5.8765078,40,368,0
93,1.622427,4.960605,29,370,0
94,-0.7947942,6.0347233,43,373,0
95,1.8060111,4.798451,29,374,0
96,0.95683014,5.1641088,10,377,0
97,3.4607475,5.2553167,45,379,45
98,1.2989072,4.7374325,29,381,0
99,3.3728456,5.820221,28,386,0
100,1.5405862,4.809505,29,387,0
101,2.1395535,6.001096,19,389,0
102,2.716344,6.1136084,12,391,0
103,12.027243,6.653165,42,393,0
104,0.9979045,5.13909,10,394,0
105,3.273284,6.7307167,15,395,0
106,1.0746163,4.975298,10,398,0
107,3.542942,5.356187,45,400,0
108,0.06806502,5.844922,43,401,0
109,-0.38655084,6.835238,3,402,0
110,0.78852004,6.588772,2,404,0
111,0.4379087,5.415767,35,405,0
112,2.644479,5.32913,12,409,0
113,-1.167129,6.4151554,26,410,0
114,-0.6772316,6.5999894,3,412,0
115,1.8639292,4.871027,29,416,0
116,1.3209215,4.9825873,29,417,0
117,2.009604,4.9060087,8,418,0
118,1.5512599,5.041194,29,419,0
119,1.3334075,4.9252887,29,421,0
120,12.057092,6.3047085,42,422,0
121,1.7023904,6.2278075,19,423,0
122,2.285746,6.340155,19,424,0
123,2.0985932,5.0220127,8,430,0
124,2.750218,5.572747,12,431,0
125,2.8967416,5.222803,8,432,0
126,1.9506761,4.8896,29,434,0
127,2.8288555,5.327132,12,435,0
128,10.457304,3.399715,32,436,0
129,-0.45469794,6.6904793,3,441,0
130,1.7004316,5.500131,40,442,0
131,1.9736154,6.0487742,19,443,0
132,-0.74322826,7.2945633,23,445,0
133,1.5837976,4.7156873,29,449,0
134,2.5222857,6.361913,19,451,0
135,2.3290234,4.8971663,8,452,0
136,3.486335,6.211805,28,454,0
137,1.3100233,4.788261,29,456,0
138,3.0761285,6.4178147,15,457,0
139,2.64985,5.164884,8,458,0
140,2.3955178,5.6538124,12,459,0
141,11.713385,7.4384656,21,461,0
142,3.1902132,6.6686945,15,462,0
143,2.881524,4.773364,8,464,0
144,3.6069467,6.6813903,50,466,0
145,1.6555206,5.2148604,40,467,0
146,11.429132,7.321359,25,470,0
147,0.059673194,7.362808,36,471,0
148,3.4432023,5.292705,45,472,45
149,3.7786927,5.0476236,45,473,0
150,3.4336,6.791952,50,475,0
151,1.337063,4.790397,29,476,0
152,-1.047978,6.598512,26,478,0
153,-0.17833008,6.048961,43,480,0
154,4.2563734,5.4335,49,481,0
155,-0.55591595,6.9998116,3,482,0
156,1.3566692,6.2632146,2,483,0
157,3.9873824,6.222002,50,484,0
158,2.142203,4.8908534,8,486,0
159,1.7309821,4.8261833,29,487,0
160,2.327241,5.1561093,8,489,0
161,1.9248667,5.5335894,40,490,0
162,1.4781816,4.7567134,29,491,0
163,3.0962262,5.1153555,45,492,0
164,3.7538893,5.9886327,28,493,0
165,13.468707,6.2853756,37,496,0
166,0.120821886,6.6365395,3,497,0
167,1.3540728,4.7383127,29,498,0
168,14.663056,7.73833,41,500,0
169,3.8944342,6.1217184,28,501,0
170,2.6633515,5.780851,12,502,0
171,-0.15281528,7.0381045,36,504,0
172,1.3149638,4.9280496,29,506,0
173,-0.43402287,7.1115522,3,507,0
174,1.6371791,5.0498986,29,508,0
175,12.826825,6.346181,1,509,0
176,1.3712928,4.808929,29,510,0
177,0.54938596,5.3035893,35,511,0
178,3.5343456,5.238308,45,512,0
179,3.7758853,6.6181073,50,513,50
180,13.607491,5.3780575,48,515,0
181,1.051748,5.466712,10,516,0
182,2.175507,6.0287666,19,517,0
183,3.8444328,5.131006,45,518,0
184,0.5855547,6.176335,35,519,0
185,1.5595526,5.0586987,29,520,0
186,3.318384,5.0261984,45,521,0
187,3.4398952,4.991116,45,523,0
188,2.6303353,5.524302,12,524,0
189,1.6819979,5.083204,29,525,0
