geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
hsa04610	Complement and coagulation cascades	http://www.kegg.jp/kegg-bin/show_pathway?hsa04610+5265+5104+462+733+4153+10747+5624+2155+5345+1361+3075+731+5340+5627+710+3053+966+2158+717+2161+730+2+725+720+718+2153+7448+729+3426+3827+7035+716+629+732+2160+3689+735	0.8068255888785548	2.517083629659593	0	0	57	./Project_wg_result1733327946_GSEA/hsa04610.png	37	5265;5104;462;733;4153;10747;5624;2155;5345;1361;3075;731;5340;5627;710;3053;966;2158;717;2161;730;2;725;720;718;2153;7448;729;3426;3827;7035;716;629;732;2160;3689;735	A2M;C1S;C2;C3;C4A;C4BPB;C6;C7;C8A;C8B;C8G;C9;CD59;CFB;CFH;CFI;CPB2;F11;F12;F5;F7;F9;ITGB2;KNG1;MASP2;MBL2;PLG;PROC;PROS1;SERPINA1;SERPINA5;SERPINC1;SERPIND1;SERPINF2;SERPING1;TFPI;VTN
hsa04146	Peroxisome	http://www.kegg.jp/kegg-bin/show_pathway?hsa04146+8528+8310+10005+51268+5193+3295+11264+1962+8799+54363+26063+26061+8309+10478+92960+8443+5828+5192+8800+2182+5825+215+30+189+1610+8540+55825+570+6648+5195+5190+5827+51+5826+283927+5194+390916+10901+54677+9409+23600+6342+196743+51179	0.7398589177078126	2.4184538360134717	0	0	73	./Project_wg_result1733327946_GSEA/hsa04146.png	44	8528;8310;10005;51268;5193;3295;11264;1962;8799;54363;26063;26061;8309;10478;92960;8443;5828;5192;8800;2182;5825;215;30;189;1610;8540;55825;570;6648;5195;5190;5827;51;5826;283927;5194;390916;10901;54677;9409;23600;6342;196743;51179	ABCD1;ABCD3;ABCD4;ACAA1;ACOT8;ACOX1;ACOX2;ACOX3;ACSL4;AGPS;AGXT;AMACR;BAAT;CROT;DAO;DDO;DECR2;DHRS4;EHHADH;GNPAT;HACL1;HAO1;HAO2;HSD17B4;NUDT19;NUDT7;PAOX;PECR;PEX10;PEX11A;PEX11B;PEX11G;PEX12;PEX13;PEX14;PEX16;PEX2;PEX6;PIPOX;PXMP2;PXMP4;SCP2;SLC25A17;SOD2
hsa03040	Spliceosome	http://www.kegg.jp/kegg-bin/show_pathway?hsa03040+9939+55660+10992+9343+4686+6633+11338+6635+10594+23020+1665+51691+6432+22827+10915+23350+6625+51340+1659+7919+23451+6428+10772+10713+5093+6629+84991+6628+9775+6426+58517+23450+3190+22938+27339+988+4670+6434+10286+10291+51729+10946+11157+4809+3178+10465+9092+9410+9879+6430+6627+22916+3192+10084+22985+84950+24148+10189+10262+6634+5356+9129+84844+7307+153527+8683+6429+3183+11017+6636+51645+55696+10450+51503	-0.5847037332804581	-2.51682681782354	0	0	106	./Project_wg_result1733327946_GSEA/hsa03040.png	74	9939;55660;10992;9343;4686;6633;11338;6635;10594;23020;1665;51691;6432;22827;10915;23350;6625;51340;1659;7919;23451;6428;10772;10713;5093;6629;84991;6628;9775;6426;58517;23450;3190;22938;27339;988;4670;6434;10286;10291;51729;10946;11157;4809;3178;10465;9092;9410;9879;6430;6627;22916;3192;10084;22985;84950;24148;10189;10262;6634;5356;9129;84844;7307;153527;8683;6429;3183;11017;6636;51645;55696;10450;51503	ACIN1;ALYREF;BCAS2;CDC5L;CRNKL1;CWC15;DDX39B;DDX46;DHX15;DHX8;EFTUD2;EIF4A3;HNRNPA1;HNRNPC;HNRNPK;HNRNPM;HNRNPU;LSM6;LSM8;NCBP1;NCBP2;PCBP1;PHF5A;PLRG1;PPIE;PPIH;PPIL1;PQBP1;PRPF19;PRPF3;PRPF38A;PRPF40A;PRPF6;PRPF8;PUF60;RBM17;RBM22;RBM25;RBM8A;SART1;SF3A1;SF3A3;SF3B1;SF3B2;SF3B3;SF3B4;SNRNP200;SNRNP27;SNRNP40;SNRNP70;SNRPA1;SNRPB;SNRPB2;SNRPD2;SNRPD3;SNRPE;SNRPF;SNU13;SNW1;SRSF1;SRSF10;SRSF3;SRSF4;SRSF5;SRSF7;SRSF9;TCERG1;TRA2B;U2AF1;U2AF2;U2SURP;USP39;WBP11;ZMAT2
hsa01040	Biosynthesis of unsaturated fatty acids	http://www.kegg.jp/kegg-bin/show_pathway?hsa01040+8310+3295+122970+30+570+51+6342+201562+6319+11332	0.7294153744638174	1.811352505346252	0.0109204368174727	0.1210665904095456	16	./Project_wg_result1733327946_GSEA/hsa01040.png	10	8310;3295;122970;30;570;51;6342;201562;6319;11332	ACAA1;ACOT4;ACOT7;ACOX1;ACOX3;BAAT;HACD2;HSD17B4;SCD;SCP2
hsa04141	Protein processing in endoplasmic reticulum	http://www.kegg.jp/kegg-bin/show_pathway?hsa04141+3998+56605+64374+81567+55829+54431+30001+468+9451+10130+5034+55741+3309+811+51726+824+2923+1410+5589+23193+5611+10961+80267+7993+56886+7184+9601+79139+10525+581+4287+10970+9373+22824+10802+10277+23190+6400+10483+80700	0.5236264935404645	1.7869504527305673	0	0.12456474566007267	116	./Project_wg_result1733327946_GSEA/hsa04141.png	40	3998;56605;64374;81567;55829;54431;30001;468;9451;10130;5034;55741;3309;811;51726;824;2923;1410;5589;23193;5611;10961;80267;7993;56886;7184;9601;79139;10525;581;4287;10970;9373;22824;10802;10277;23190;6400;10483;80700	ATF4;ATXN3;BAX;CALR;CAPN2;CKAP4;CRYAB;DERL1;DNAJB11;DNAJC10;DNAJC3;EDEM2;EDEM3;EIF2AK3;ERO1A;ERO1B;ERP29;GANAB;HSP90B1;HSPA4L;HSPA5;HYOU1;LMAN1;P4HB;PDIA3;PDIA4;PDIA6;PLAA;PRKCSH;SEC23B;SEC24A;SEL1L;SELENOS;SIL1;TXNDC5;UBE4B;UBXN4;UBXN6;UBXN8;UGGT1
hsa04060	Cytokine-cytokine receptor interaction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04060+8743+83729	0.8224195538645281	1.7625197259851721	0	0.1348766989638003	9	./Project_wg_result1733327946_GSEA/hsa04060.png	2	8743;83729	INHBE;TNFSF10
hsa00514	Other types of O-glycan biosynthesis	http://www.kegg.jp/kegg-bin/show_pathway?hsa00514+145173+23275+285203+23509+56983+10585+8985	0.7189121148630859	1.7306619704392978	0.007936507936507936	0.15939420445879873	15	./Project_wg_result1733327946_GSEA/hsa00514.png	7	145173;23275;285203;23509;56983;10585;8985	B3GLCT;EOGT;PLOD3;POFUT1;POFUT2;POGLUT1;POMT1
hsa03010	Ribosome	http://www.kegg.jp/kegg-bin/show_pathway?hsa03010+6176+6147+6182+6223+6229+6189+6194+6135+6217+6137+6181+3921+6192+6129+6210+64981+6187+6124+6136+6159+6193+6208+4736+6146+51065+6128+6160+6156+6144+6230+6222+6122+6138+51021+6191+6169+6158+9045+6168+6202+6132+6134+6164+6152+6232+6130+6206+6125+6139+11222+6227+25873+51263	-0.43529502551955523	-1.8509603968276018	0	0.1863324006254629	103	./Project_wg_result1733327946_GSEA/hsa03010.png	53	6176;6147;6182;6223;6229;6189;6194;6135;6217;6137;6181;3921;6192;6129;6210;64981;6187;6124;6136;6159;6193;6208;4736;6146;51065;6128;6160;6156;6144;6230;6222;6122;6138;51021;6191;6169;6158;9045;6168;6202;6132;6134;6164;6152;6232;6130;6206;6125;6139;11222;6227;25873;51263	MRPL12;MRPL3;MRPL30;MRPL34;MRPS16;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL14;RPL15;RPL17;RPL21;RPL22;RPL23A;RPL24;RPL28;RPL29;RPL3;RPL30;RPL31;RPL34;RPL36;RPL37A;RPL38;RPL4;RPL5;RPL6;RPL7;RPL7A;RPL8;RPLP1;RPLP2;RPS12;RPS14;RPS15A;RPS16;RPS18;RPS19;RPS2;RPS21;RPS24;RPS25;RPS27;RPS27L;RPS3A;RPS4X;RPS4Y1;RPS5;RPS6;RPS8;RPSA
hsa04723	Retrograde endocannabinoid signaling	http://www.kegg.jp/kegg-bin/show_pathway?hsa04723+4728+5595+4723+55967+4722+222236+3710+4719+4710+51079+2771+4702+57406+4716+4714+4725+4724+4709+54539+4712+4713+23236+5578+2773+374291+4696+4731+4705+4726+5579	-0.4716191830682036	-1.7970874876154124	0.004016064257028112	0.20110141826461472	55	./Project_wg_result1733327946_GSEA/hsa04723.png	30	4728;5595;4723;55967;4722;222236;3710;4719;4710;51079;2771;4702;57406;4716;4714;4725;4724;4709;54539;4712;4713;23236;5578;2773;374291;4696;4731;4705;4726;5579	ABHD6;GNAI2;GNAI3;ITPR3;MAPK3;NAPEPLD;NDUFA10;NDUFA12;NDUFA13;NDUFA3;NDUFA8;NDUFB10;NDUFB11;NDUFB3;NDUFB4;NDUFB6;NDUFB7;NDUFB8;NDUFS1;NDUFS3;NDUFS4;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV3;PLCB1;PRKCA;PRKCB
hsa05032	Morphine addiction	http://www.kegg.jp/kegg-bin/show_pathway?hsa05032+5578+2773+2778+156+5138+5579	-0.6224809213114506	-1.734031959656301	0.02127659574468085	0.2524895070364579	16	./Project_wg_result1733327946_GSEA/hsa05032.png	6	5578;2773;2778;156;5138;5579	GNAI3;GNAS;GRK2;PDE2A;PRKCA;PRKCB
hsa00591	Linoleic acid metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00591+1557+1576+151056+1558+1544+1571	-0.5648898094975847	-1.4079130194597094	0.09319899244332494	0.38756256499652103	11	./Project_wg_result1733327946_GSEA/hsa00591.png	6	1557;1576;151056;1558;1544;1571	CYP1A2;CYP2C19;CYP2C8;CYP2E1;CYP3A4;PLB1
