	x	y	RT	fragment	x_aligned	rawfile	fragment_filter
0	11.67077733	0	11.671	y11++ 625.809	-0.402022667	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
1	11.69717333	0	11.697	y11++ 625.809	-0.375626667	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
2	11.72390093	0	11.724	y11++ 625.809	-0.348899067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
3	11.75067573	0	11.751	y11++ 625.809	-0.322124267	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
4	11.77740827	0	11.777	y11++ 625.809	-0.295391733	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
5	11.8039384	37.07844	11.804	y11++ 625.809	-0.2688616	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
6	11.83074293	142.12537	11.831	y11++ 625.809	-0.242057067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
7	11.85751787	0	11.858	y11++ 625.809	-0.215282133	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
8	11.884296	0	11.884	y11++ 625.809	-0.188504	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
9	11.911254	0	11.911	y11++ 625.809	-0.161546	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
10	11.93814333	0	11.938	y11++ 625.809	-0.134656667	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
11	11.9652284	0	11.965	y11++ 625.809	-0.1075716	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
12	11.99219253	0	11.992	y11++ 625.809	-0.080607467	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
13	12.01895573	0	12.019	y11++ 625.809	-0.053844267	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
14	12.04586893	0	12.046	y11++ 625.809	-0.026931067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
15	12.07276387	0	12.073	y11++ 625.809	-3.61E-05	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
16	12.0994984	0	12.099	y11++ 625.809	0.0266984	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
17	12.1261336	0	12.126	y11++ 625.809	0.0533336	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
18	12.15291293	118.571465	12.153	y11++ 625.809	0.080112933	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
19	12.17959013	78.93346	12.18	y11++ 625.809	0.106790133	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
20	12.20627147	0	12.206	y11++ 625.809	0.133471467	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
21	12.23307907	0	12.233	y11++ 625.809	0.160279067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
22	12.25985493	0	12.26	y11++ 625.809	0.187054933	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
23	12.2865076	0	12.287	y11++ 625.809	0.2137076	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
24	12.31361107	0	12.314	y11++ 625.809	0.240811067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
25	12.34052667	0	12.341	y11++ 625.809	0.267726667	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
26	12.36711413	182.81555	12.367	y11++ 625.809	0.294314133	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
27	12.394034	0	12.394	y11++ 625.809	0.321234	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
28	12.42093747	217.35258	12.421	y11++ 625.809	0.348137467	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
29	12.4477352	0	12.448	y11++ 625.809	0.3749352	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
30	12.47456933	0	12.475	y11++ 625.809	0.401769333	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
31	12.5015128	0	12.502	y11++ 625.809	0.4287128	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
32	12.5282548	304.83145	12.528	y11++ 625.809	0.4554548	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
33	12.5548932	0	12.555	y11++ 625.809	0.4820932	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
34	12.5819004	0	12.582	y11++ 625.809	0.5091004	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
35	12.6088428	0	12.609	y11++ 625.809	0.5360428	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
36	12.63576707	246.13222	12.636	y11++ 625.809	0.562967067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y11++
37	11.67077733	91.56534	11.671	b2+ 189.087	-0.402022667	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
38	11.69717333	242.1953	11.697	b2+ 189.087	-0.375626667	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
39	11.72390093	256.35263	11.724	b2+ 189.087	-0.348899067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
40	11.75067573	120.794205	11.751	b2+ 189.087	-0.322124267	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
41	11.77740827	178.67032	11.777	b2+ 189.087	-0.295391733	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
42	11.8039384	205.99109	11.804	b2+ 189.087	-0.2688616	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
43	11.83074293	0	11.831	b2+ 189.087	-0.242057067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
44	11.85751787	0	11.858	b2+ 189.087	-0.215282133	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
45	11.884296	0	11.884	b2+ 189.087	-0.188504	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
46	11.911254	254.96187	11.911	b2+ 189.087	-0.161546	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
47	11.93814333	0	11.938	b2+ 189.087	-0.134656667	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
48	11.9652284	132.44075	11.965	b2+ 189.087	-0.1075716	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
49	11.99219253	204.96681	11.992	b2+ 189.087	-0.080607467	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
50	12.01895573	332.7542	12.019	b2+ 189.087	-0.053844267	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
51	12.04586893	339.7219	12.046	b2+ 189.087	-0.026931067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
52	12.07276387	112.66245	12.073	b2+ 189.087	-3.61E-05	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
53	12.0994984	0	12.099	b2+ 189.087	0.0266984	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
54	12.1261336	450.97052	12.126	b2+ 189.087	0.0533336	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
55	12.15291293	596.87787	12.153	b2+ 189.087	0.080112933	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b2+
