well_id	level	tech_rep	include	fluo_intensity	fluo_int_norm	comment
G4	0_low	NA	T	131.9479218	-0.370269299	
F4	1_moderate	NA	T	236.7506409	1.259313107	
E4	2_high	NA	T	761.0091553	9.41103363	
M7	0_low	NA	F	94.27552795	-0.584660113	
L7	1_moderate	NA	F	109.8032455	0.64195168	
K7	2_high	NA	F	142.7672882	3.245944977	
H8	0_low	NA	T	105.0676498	-0.468363494	
F8	1_moderate	NA	T	141.9322052	1.01241529	
G8	2_high	NA	T	200.0131073	3.345414162	
J7	0_low	NA	T	197.6474304	-0.701126516	
I7	1_moderate	NA	T	322.6118469	0.881569386	
H7	2_high	NA	T	524.7008057	3.441060543	
N5	0_low	NA	T	147.5044556	-0.261510879	clustering or clustering aggregates?
M5	1_moderate	NA	T	734.032959	1.022665977	clustering or clustering aggregates?
L5	2_high	NA	T	3544.100586	7.175178528	clustering or clustering aggregates?
B5	0_low	NA	T	241.8643494	-0.866054952	
A5	1_moderate	NA	T	806.857605	0.441476375	
N4	2_high	NA	T	1828.495483	2.805794001	
I9	0_low	1	T	287.0078125	-0.680854619	do you mean 11584 instead? - did not go for aggregates
H9	1_moderate	1	T	1429.849854	0.761885226	do you mean 11584 instead? - did not go for aggregates
G9	2_high	1	T	3294.980957	3.116452694	do you mean 11584 instead? - did not go for aggregates
I6	0_low	1	T	213.712616	-0.519998729	
H6	1_moderate	1	T	427.99823	1.152482748	
G6	2_high	1	T	1280.672485	7.807534695	
D10	0_low	2	T	210.0671692	-0.553640544	
C10	1_moderate	2	T	393.4058838	1.480659842	
B10	medium-2_high	2	T	1561.367188	14.44019318	
D4	0_low	NA	T	168.0370636	-0.365504801	
C4	1_moderate	NA	T	921.2455444	1.40439868	
B4	2_high	NA	T	2881.814941	6.011381626	
I3	0_low	NA	T	185.2546082	-0.64941299	do you mean 050147 instead?
H3	1_moderate	NA	T	853.1110229	0.788664281	do you mean 050147 instead?
G3	2_high	NA	T	2090.335205	3.452745914	do you mean 050147 instead?
I1	0_low	2	T	150.7301178	-0.585837364	
L1	0_low	1	T	150.7301178	-0.585837364	
H1	1_moderate	2	T	456.7904053	0.773142457	
K1	1_moderate	1	T	456.7904053	0.773142457	
G1	2_high	2	T	1117.331543	3.706100702	
J1	2_high	1	T	1117.331543	3.706100702	
C2	0_low	1	T	124.7512817	-0.419586688	
B2	1_moderate	1	T	202.92453	1.443329096	
A2	2_high	1	T	525.4576416	9.129488945	
F2	0_low	2	T	124.5840454	-0.412259281	
E2	1_moderate	2	T	208.4734802	1.453779817	
D2	2_high	2	T	577.4866943	9.662120819	
F3	0_low	NA	T	132.6986694	-0.367088616	
E3	1_moderate	NA	T	542.4237671	1.455449581	
D3	2_high	NA	T	1646.6521	6.367275238	
F9	0_low	2	T	140.1734314	-0.39021188	
E9	1_moderate	2	T	228.5169678	1.100607038	
D9	medium-2_high	2	T	782.3473511	10.44663143	
A4	0_low	1	T	158.474884	-0.149831936	
N3	1_moderate	1	T	564.2785034	3.273944378	
M3	2_high	1	T	2253.634033	17.52708435	
N2	0_low	NA	T	145.5933838	-0.339440405	
M2	1_moderate	NA	T	365.1078796	1.641376972	
L2	2_high	NA	T	855.5986328	6.067383766	
H5	0_low	NA	T	213.712616	-0.519998729	did you mean scene2? I did scene2
G5	1_moderate	NA	T	427.99823	1.152482748	did you mean scene2? I did scene2
F5	2_high	NA	T	1280.672485	7.807534695	did you mean scene2? I did scene2
I2	0_low	2	T	142.3397369	-0.253457069	
H2	1_moderate	2	T	961.1846924	2.612420082	
G2	2_high	NA	T	3116.684814	10.15645885	
K2	0_low	1	T	156.2816162	-0.363244802	
J2	1_moderate	1	T	1055.270264	1.686615944	
M4	0_low	NA	T	171.0583954	-0.362224907	
L4	1_moderate	NA	T	817.3071289	1.465904713	
K4	2_high	NA	T	2519.394775	6.280826092	
C3	0_low	NA	T	170.6978912	-0.620740175	
B3	1_moderate	NA	T	628.5604248	0.813417137	
A3	2_high	NA	T	1550.994507	3.702746391	
C1	0_low	2	T			did you mean 21259? Different - ML classification instead of clustering
B1	1_moderate	2	T			did you mean 21259? Different - ML classification instead of clustering
A1	2_high	2	T			did you mean 21259? Different - ML classification instead of clustering
F1	0_low	1	T			did you mean 21259? Different - ML classification instead of clustering
E1	1_moderate	1	T			did you mean 21259? Different - ML classification instead of clustering
D1	2_high	1	T			did you mean 21259? Different - ML classification instead of clustering
L9	0_low	2	T	183.6056824	-0.309588075	
K9	1_moderate	2	T	679.5866699	1.969780564	
J9	medium-2_high	2	T	1701.824829	6.667657375	
L3	0_low	1	T	153.4969788	-0.381666064	
K3	1_moderate	1	T	780.3436279	1.783559203	
J3	2_high	1	T	1767.277344	5.192581177	
E5	0_low	1	T	156.3920288	-0.279274195	
D5	1_moderate	1	T	575.0224609	2.218786001	
C5	2_high	1	T	1528.273193	7.907043457	
A10	0_low	2	T	158.3191223	-0.251484782	
N9	1_moderate	2	T	524.9375	2.154829979	
M9	medium-2_high	2	T	1390.839355	7.83821249	
J4	0_low	1	T	151.1571198	-0.141536146	
I4	1_moderate	1	T	696.869751	4.953032494	
H4	2_high	1	T	2166.970459	18.67734146	
J10	0_low	2	T	154.6672058	-0.186732337	
I10	1_moderate	2	T	571.5814209	3.174561739	
H10	medium-2_high	2	T	1596.380493	11.43681622	
A7	0_low	NA	T	154.4259949	-0.543827534	
N6	1_moderate	NA	T	333.4666138	0.891665637	
M6	2_high	NA	T	767.1760864	4.369015694	
K8	0_low	NA	T	161.1011353	-0.233098492	
J8	1_moderate	NA	T	507.2695313	2.102993727	
I8	2_high	NA	T	3334.779541	21.18423843	
K5	0_low	NA	T	224.3376007	-0.817742527	
J5	1_moderate	NA	T	417.6052856	0.671315432	
I5	2_high	NA	T	764.9083862	3.347160816	
G10	0_low	2	T	189.2286377	-0.777524054	
F10	1_moderate	2	T	645.9743042	0.361791253	
E10	medium-2_high	2	T	1743.013916	3.09826827	
C6	0_low	1	T	229.026123	-0.911471844	
B6	1_moderate	1	T	453.3597412	0.585394263	
A6	2_high	1	T	854.0620117	3.259080172	
B8	0_low	NA	T	145.0740662	-0.609319806	
A8	1_moderate	NA	T	296.9262695	0.384638399	
N7	2_high	NA	T	852.9312134	4.024003983	
E8	0_low	NA	T	149.7339783	-0.469512135	
D8	1_moderate	NA	T	369.2959595	0.666726112	
C8	2_high	NA	T	1150.598145	4.709982872	
N8	0_low	NA	T	264.1161804	-0.639627695	
M8	1_moderate	NA	T	1085.022949	0.799515486	
L8	2_high	NA	T	2524.223633	3.322598219	
D7	0_low	NA	T	245.0296021	-0.682411909	
C7	1_moderate	NA	T	492.6679077	0.873438537	
B7	2_high	NA	T	982.701416	3.952198267	
L6	0_low	NA	T	252.0286255	-0.682692945	
K6	1_moderate	NA	T	617.3737183	1.266271234	
J6	2_high	NA	T	949.2340088	3.036607742	
F6	0_low	NA	T	339.521759	-0.595742106	did you mean scene2? I did scene2
E6	1_moderate	NA	T	829.9622803	0.842847466	did you mean scene2? I did scene2
D6	2_high	NA	T	1862.763428	3.872322083	did you mean scene2? I did scene2
G7	0_low	NA	T	236.4216766	-0.821177423	
F7	1_moderate	NA	T	393.6448059	1.057426572	
E7	2_high	NA	T	953.7405396	7.749814034	
C9	0_low	NA	T	152.8017273	-0.309256166	
B9	1_moderate	NA	T	1031.344238	2.084867239	
A9	2_high	NA	T	3114.742432	7.762352943	
