...1	UMAP1	UMAP2	cluster	cell_id	selected_cluster	slide
0	1.1326321	0.4222186	13	40	13	01_rep1
4	6.5159993	2.6650453	31	48	31	01_rep1
37	0.4903568	0.012349997	18	106	18	01_rep1
56	0.59995645	0.8749335	43	136	43	01_rep1
77	1.5847808	1.1578612	3	166	3	01_rep1
79	8.273019	1.5053092	44	169	44	01_rep1
83	4.1742463	1.2886343	47	558	47	01_rep1
84	0.7587733	2.626246	15	571	15	01_rep1
125	-0.11626302	1.6190594	49	742	49	01_rep1
136	0.85614586	1.9323951	22	772	22	01_rep1
142	6.6097775	0.912729	32	798	32	01_rep1
160	4.921834	-0.7663592	39	833	39	01_rep1
163	1.8372886	0.1934624	34	840	34	01_rep1
164	6.9833574	2.4648025	20	843	20	01_rep1
166	8.038579	1.9876122	11	846	11	01_rep1
172	4.1300097	-0.93228996	14	857	14	01_rep1
190	5.698489	0.48389444	5	891	5	01_rep1
204	5.8542233	2.1323242	45	912	45	01_rep1
215	0.44641823	0.017983174	18	928	18	01_rep1
236	8.390779	1.5125605	44	963	44	01_rep1
246	3.3759649	1.062891	40	979	40	01_rep1
248	6.6291003	1.9721955	25	991	25	01_rep1
264	0.8615086	2.5779407	15	1023	15	01_rep1
268	1.9241081	0.19158934	34	1029	34	01_rep1
269	5.046043	0.26968738	19	1030	19	01_rep1
279	0.64447653	0.78465617	43	1045	43	01_rep1
323	3.5926301	1.8741387	6	1101	6	01_rep1
357	2.2014823	1.8329185	21	1154	21	01_rep1
368	7.5249524	0.78653055	1	1168	1	01_rep1
377	7.192672	1.5261887	4	1180	4	01_rep1
382	7.235663	1.5973897	4	1186	4	01_rep1
392	3.4166644	-0.18865457	33	1200	33	01_rep1
394	7.085942	2.4671943	20	1203	20	01_rep1
397	0.07546096	2.3201385	38	1206	38	01_rep1
403	7.254471	1.6359233	4	1215	4	01_rep1
434	0.54775363	-0.0620396	18	1256	18	01_rep1
453	1.317226	2.5977721	37	1283	37	01_rep1
457	1.1819668	0.24005444	13	1289	13	01_rep1
463	4.314778	-0.4046019	50	1296	50	01_rep1
465	3.4640956	-0.8193489	26	1298	26	01_rep1
472	3.3435948	1.0077595	40	1308	40	01_rep1
473	0.880353	2.559996	15	1311	15	01_rep1
475	0.9001437	2.5748942	15	1313	15	01_rep1
487	1.5391014	1.1705996	3	1330	3	01_rep1
502	7.4756584	0.86842865	1	1349	1	01_rep1
509	8.821593	2.1764362	9	1356	9	01_rep1
530	5.048521	-0.747775	39	1383	39	01_rep1
537	0.79729205	2.6666152	15	1394	15	01_rep1
538	5.0219345	2.1262403	16	1395	16	01_rep1
581	8.340658	1.524129	44	1449	44	01_rep1
587	0.8114119	2.5672574	15	1455	15	01_rep1
589	1.9200864	-0.59306073	10	1457	10	01_rep1
599	3.4688463	-0.19683169	33	1468	33	01_rep1
603	6.4410176	2.6613755	31	1473	31	01_rep1
620	0.44320562	0.023627553	18	1500	18	01_rep1
622	7.7001586	2.7348835	36	1502	36	01_rep1
624	5.074428	1.2933149	30	1506	30	01_rep1
629	8.413288	2.5770364	28	1512	28	01_rep1
630	7.5507646	0.879478	1	1514	1	01_rep1
638	3.8956957	0.3759669	35	1523	35	01_rep1
677	2.2055273	1.6929771	21	1580	21	01_rep1
690	1.5160099	1.0851699	3	1597	3	01_rep1
691	7.5555544	0.7682345	1	1599	1	01_rep1
700	0.7255222	2.6042163	15	1614	15	01_rep1
703	3.7595577	1.6393677	6	1618	6	01_rep1
710	9.128716	2.7754114	46	1627	46	01_rep1
719	0.10155749	2.2875557	38	1638	38	01_rep1
727	7.50593	0.8890044	1	1646	1	01_rep1
761	0.76113456	2.553084	15	1691	15	01_rep1
762	6.513273	1.9967717	25	1692	25	01_rep1
763	5.014068	-0.7926147	39	1693	39	01_rep1
785	3.4963572	-0.1399585	33	1725	33	01_rep1
790	2.1025484	1.7940507	21	1734	21	01_rep1
800	7.677464	2.7376702	36	1749	36	01_rep1
806	9.127188	2.7760215	46	1758	46	01_rep1
807	4.812348	0.22494231	19	1759	19	01_rep1
811	4.289518	-0.40576777	50	1764	50	01_rep1
818	6.9892545	2.4826133	20	1774	20	01_rep1
821	2.0081353	0.15566248	34	1778	34	01_rep1
827	-0.05412189	1.0158939	17	1786	17	01_rep1
850	6.7714524	0.8832367	32	1819	32	01_rep1
866	9.1108055	2.7964077	46	1849	46	01_rep1
886	7.553101	0.71674913	1	1880	1	01_rep1
888	2.2351525	1.8462048	21	1885	21	01_rep1
920	9.056067	2.7765892	46	1925	46	01_rep1
925	1.5843931	0.9490816	3	1932	3	01_rep1
950	1.3560244	2.624388	37	1977	37	01_rep1
953	0.87103546	1.7503409	22	1980	22	01_rep1
957	3.7267625	1.6692684	6	1984	6	01_rep1
988	5.736885	0.5409883	5	2036	5	01_rep1
992	7.643754	2.5910132	36	2041	36	01_rep1
1011	0.11656881	2.3344634	38	2086	38	01_rep1
1012	0.1093734	2.370945	38	2088	38	01_rep1
1031	1.497683	1.0370573	3	2125	3	01_rep1
1067	0.7833216	1.8597112	22	2297	22	01_rep1
1108	0.74381256	2.5685155	15	2342	15	01_rep1
1112	0.068671905	2.3065803	38	2347	38	01_rep1
1119	2.8309357	0.020202903	2	2359	2	01_rep1
1130	0.79232484	2.5213346	15	2374	15	01_rep1
1136	0.7588577	1.8255922	22	2380	22	01_rep1
1146	7.6736503	2.6064506	36	2391	36	01_rep1
1148	1.3885133	2.690526	37	2393	37	01_rep1
1151	5.1018066	1.1706617	30	2397	30	01_rep1
1155	0.8334284	2.5964856	15	2402	15	01_rep1
1171	1.9991498	1.8411682	21	2419	21	01_rep1
1174	1.392289	2.5239885	37	2423	37	01_rep1
1178	6.669494	0.09130447	23	2427	23	01_rep1
1180	1.4123082	2.615799	37	2430	37	01_rep1
1182	2.0911245	1.8877783	21	2435	21	01_rep1
1184	0.86032754	2.5194635	15	2437	15	01_rep1
1193	7.057676	2.4777162	20	2446	20	01_rep1
1195	4.8839383	-0.7481368	39	2448	39	01_rep1
1216	6.0541434	1.3922923	7	2471	7	01_rep1
1225	1.3473713	2.535945	37	2482	37	01_rep1
1238	9.143335	2.7506864	46	2495	46	01_rep1
1266	8.413286	1.4291556	44	2525	44	01_rep1
1314	4.2448525	1.0757747	47	2582	47	01_rep1
1317	7.2842536	1.4674497	4	2585	4	01_rep1
1329	7.2442594	1.5193198	4	2599	4	01_rep1
1338	7.2771673	1.5846164	4	2609	4	01_rep1
1349	0.6865843	1.9425565	22	2626	22	01_rep1
1372	1.5703652	0.970858	3	2650	3	01_rep1
1446	5.803799	-0.35082912	27	2733	27	01_rep1
1447	0.16324301	2.2621934	38	2736	38	01_rep1
1467	3.5426521	1.7783605	6	2758	6	01_rep1
1480	0.8279209	2.5805833	15	2771	15	01_rep1
1483	1.4561026	2.688886	37	2775	37	01_rep1
1495	1.5053953	2.6315541	37	2791	37	01_rep1
1542	1.506485	2.5564613	37	2839	37	01_rep1
1565	8.101424	1.9699805	11	2866	11	01_rep1
1577	3.378336	1.084203	40	2879	40	01_rep1
1597	2.4097745	0.84648544	8	2901	8	01_rep1
1601	8.863932	2.2077131	9	2905	9	01_rep1
1604	1.4504308	0.9644642	3	2908	3	01_rep1
1606	3.2669575	0.98920345	40	2910	40	01_rep1
1607	0.8860378	2.5846934	15	2911	15	01_rep1
1615	4.8494287	0.3280882	19	2919	19	01_rep1
1616	1.47566	2.5342445	37	2920	37	01_rep1
1620	6.5373683	2.026914	25	2925	25	01_rep1
1623	5.8511863	2.3022583	45	2928	45	01_rep1
1629	8.988198	2.2083077	9	2934	9	01_rep1
1632	0.7864402	1.9075203	22	2937	22	01_rep1
1635	9.1129465	2.807369	46	2940	46	01_rep1
1647	0.82598484	2.6036997	15	2953	15	01_rep1
1657	6.5755944	0.23050998	23	2964	23	01_rep1
1660	5.7142744	0.6046491	5	2967	5	01_rep1
1666	1.9931431	1.8066101	21	2973	21	01_rep1
1667	1.4407736	2.5643332	37	2974	37	01_rep1
1673	0.75377077	2.6381664	15	2980	15	01_rep1
1695	1.4609092	2.6535633	37	3002	37	01_rep1
1715	6.783191	0.8979766	32	3024	32	01_rep1
1719	1.3486307	2.6121528	37	3028	37	01_rep1
1734	0.8065298	2.4964502	15	3043	15	01_rep1
1739	6.7469673	0.14864428	23	3048	23	01_rep1
1754	2.7356653	0.059333373	2	3065	2	01_rep1
1761	1.356619	2.6732	37	3073	37	01_rep1
1772	2.1374147	1.9159136	21	3084	21	01_rep1
1779	7.667205	2.6735816	36	3091	36	01_rep1
1790	1.3290828	2.5626218	37	3103	37	01_rep1
1821	5.675388	-0.22892798	27	3135	27	01_rep1
1828	1.5042951	1.1632122	3	3142	3	01_rep1
1831	4.2807474	-0.32516393	50	3145	50	01_rep1
1852	5.68017	0.5662321	5	3168	5	01_rep1
1858	1.4574282	2.6816967	37	3174	37	01_rep1
1873	7.6298165	2.6244671	36	3189	36	01_rep1
1892	5.0350404	-0.6326125	39	3210	39	01_rep1
1916	2.1759105	1.6828036	21	3235	21	01_rep1
1935	2.2048874	1.7181568	21	3256	21	01_rep1
1936	7.0141726	2.4935791	20	3257	20	01_rep1
1937	0.8695864	2.6206253	15	3258	15	01_rep1
1941	9.108102	2.8096602	46	3262	46	01_rep1
1943	0.74928087	2.5773928	15	3264	15	01_rep1
1951	-0.06508661	0.1274575	41	3272	41	01_rep1
1959	2.4710965	0.7762426	8	3280	8	01_rep1
1974	2.1275768	1.761947	21	3296	21	01_rep1
1994	9.131707	2.7859073	46	3316	46	01_rep1
2002	0.8396287	2.616901	15	3325	15	01_rep1
2016	0.8135334	2.5609999	15	3341	15	01_rep1
2021	1.4585704	2.6642954	37	3346	37	01_rep1
2024	2.0583143	1.705176	21	3350	21	01_rep1
2049	6.7627797	0.875339	32	3375	32	01_rep1
