well	slide	cluster	type
A1	Explant_DVP_01	1	NA
A2	Explant_DVP_01	2	NA
A3	Explant_DVP_01	3	NA
A4	Explant_DVP_01	4	NA
A5	Explant_DVP_01	5	NA
A6	Explant_DVP_01	6	NA
A7	Explant_DVP_01	7	NA
A8	Explant_DVP_01	8	NA
A9	Explant_DVP_01	9	NA
A10	Explant_DVP_01	10	intermediate
A11	Explant_DVP_01	11	NA
A12	Explant_DVP_01	12	intermediate
A13	Explant_DVP_01	13	intermediate
A14	Explant_DVP_01	14	NA
A15	Explant_DVP_01	15	globular
A16	Explant_DVP_01	16	NA
A17	Explant_DVP_01	17	intermediate
A18	Explant_DVP_01	18	intermediate
A19	Explant_DVP_01	19	NA
A20	Explant_DVP_01	20	NA
A21	Explant_DVP_01	21	NA
A22	Explant_DVP_01	22	globular
B1	Explant_DVP_01	23	NA
B2	Explant_DVP_01	24	fibrillar
B3	Explant_DVP_01	25	NA
B4	Explant_DVP_01	26	NA
B5	Explant_DVP_01	27	NA
B6	Explant_DVP_01	28	NA
B7	Explant_DVP_01	29	fibrillar
B8	Explant_DVP_01	30	NA
B9	Explant_DVP_01	31	NA
B10	Explant_DVP_01	32	NA
B11	Explant_DVP_01	33	NA
B12	Explant_DVP_01	34	intermediate
B13	Explant_DVP_01	35	NA
B14	Explant_DVP_01	36	NA
B15	Explant_DVP_01	37	globular
B16	Explant_DVP_01	38	globular
B17	Explant_DVP_01	39	NA
B18	Explant_DVP_01	40	NA
B19	Explant_DVP_01	41	fibrillar
B20	Explant_DVP_01	42	NA
B21	Explant_DVP_01	43	intermediate
B22	Explant_DVP_01	44	NA
C1	Explant_DVP_01	45	NA
C2	Explant_DVP_01	46	NA
C3	Explant_DVP_01	47	NA
C4	Explant_DVP_01	48	fibrillar
C5	Explant_DVP_01	49	intermediate
C6	Explant_DVP_01	50	NA
C7	Explant_DVP_01b	1	NA
C8	Explant_DVP_01b	2	NA
C9	Explant_DVP_01b	3	globular
C10	Explant_DVP_01b	4	NA
C11	Explant_DVP_01b	5	NA
C12	Explant_DVP_01b	6	NA
C13	Explant_DVP_01b	7	NA
C14	Explant_DVP_01b	8	NA
C15	Explant_DVP_01b	9	NA
C16	Explant_DVP_01b	10	NA
C17	Explant_DVP_01b	11	NA
C18	Explant_DVP_01b	12	NA
C19	Explant_DVP_01b	13	NA
C20	Explant_DVP_01b	14	NA
C21	Explant_DVP_01b	15	NA
C22	Explant_DVP_01b	16	NA
D1	Explant_DVP_01b	17	NA
D2	Explant_DVP_01b	18	NA
D3	Explant_DVP_01b	19	NA
D4	Explant_DVP_01b	20	NA
D5	Explant_DVP_01b	21	NA
D6	Explant_DVP_01b	22	NA
D7	Explant_DVP_01b	23	globular
D8	Explant_DVP_01b	24	NA
D9	Explant_DVP_01b	25	NA
D10	Explant_DVP_01b	26	intermediate
D11	Explant_DVP_01b	27	NA
D12	Explant_DVP_01b	28	NA
D13	Explant_DVP_01b	29	NA
D14	Explant_DVP_01b	30	NA
D15	Explant_DVP_01b	31	NA
D16	Explant_DVP_01b	32	NA
D17	Explant_DVP_01b	33	NA
D18	Explant_DVP_01b	34	NA
D19	Explant_DVP_01b	35	intermediate
D20	Explant_DVP_01b	36	globular
D21	Explant_DVP_01b	37	NA
D22	Explant_DVP_01b	38	NA
E1	Explant_DVP_01b	39	NA
E2	Explant_DVP_01b	40	NA
E3	Explant_DVP_01b	41	NA
E4	Explant_DVP_01b	42	NA
E5	Explant_DVP_01b	43	fibrillar
E6	Explant_DVP_01b	44	NA
E7	Explant_DVP_01b	45	NA
E8	Explant_DVP_01b	46	NA
E9	Explant_DVP_01b	47	NA
E10	Explant_DVP_01b	48	NA
E11	Explant_DVP_01b	49	NA
E12	Explant_DVP_01b	50	NA
E13	Explant_DVP_02	1	NA
E14	Explant_DVP_02	2	NA
E15	Explant_DVP_02	3	NA
E16	Explant_DVP_02	4	NA
E17	Explant_DVP_02	5	NA
E18	Explant_DVP_02	6	NA
E19	Explant_DVP_02	7	NA
E20	Explant_DVP_02	8	NA
E21	Explant_DVP_02	9	NA
E22	Explant_DVP_02	10	NA
F1	Explant_DVP_02	11	NA
F2	Explant_DVP_02	12	NA
F3	Explant_DVP_02	13	NA
F4	Explant_DVP_02	14	NA
F5	Explant_DVP_02	15	NA
F6	Explant_DVP_02	16	NA
F7	Explant_DVP_02	17	NA
F8	Explant_DVP_02	18	NA
F9	Explant_DVP_02	19	NA
F10	Explant_DVP_02	20	NA
F11	Explant_DVP_02	21	NA
F12	Explant_DVP_02	22	NA
F13	Explant_DVP_02	23	NA
F14	Explant_DVP_02	24	NA
F15	Explant_DVP_02	25	NA
F16	Explant_DVP_02	26	NA
F17	Explant_DVP_02	27	NA
F18	Explant_DVP_02	28	NA
F19	Explant_DVP_02	29	NA
F20	Explant_DVP_02	30	NA
F21	Explant_DVP_02	31	NA
F22	Explant_DVP_02	32	NA
G1	Explant_DVP_02	33	NA
G2	Explant_DVP_02	34	NA
G3	Explant_DVP_02	35	NA
G4	Explant_DVP_02	36	NA
G5	Explant_DVP_02	37	NA
G6	Explant_DVP_02	38	NA
G7	Explant_DVP_02	39	NA
G8	Explant_DVP_02	40	NA
G9	Explant_DVP_02	41	NA
G10	Explant_DVP_02	42	NA
G11	Explant_DVP_02	43	NA
G12	Explant_DVP_02	44	NA
G13	Explant_DVP_02	45	NA
G14	Explant_DVP_02	46	NA
G15	Explant_DVP_02	47	NA
G16	Explant_DVP_02	48	NA
G17	Explant_DVP_02	49	NA
G18	Explant_DVP_02	50	NA
G19	Explant_DVP_03	1	NA
G20	Explant_DVP_03	2	NA
G21	Explant_DVP_03	3	NA
G22	Explant_DVP_03	4	NA
H1	Explant_DVP_03	5	fibrillar
H2	Explant_DVP_03	6	NA
H3	Explant_DVP_03	7	NA
H4	Explant_DVP_03	8	globular
H5	Explant_DVP_03	9	NA
H6	Explant_DVP_03	10	fibrillar
H7	Explant_DVP_03	11	NA
H8	Explant_DVP_03	12	intermediate
H9	Explant_DVP_03	13	NA
H10	Explant_DVP_03	14	globular
H11	Explant_DVP_03	15	NA
H12	Explant_DVP_03	16	intermediate
H13	Explant_DVP_03	17	NA
H14	Explant_DVP_03	18	NA
H15	Explant_DVP_03	19	NA
H16	Explant_DVP_03	20	NA
H17	Explant_DVP_03	21	globular
H18	Explant_DVP_03	22	NA
H19	Explant_DVP_03	23	NA
H20	Explant_DVP_03	24	NA
H21	Explant_DVP_03	25	NA
H22	Explant_DVP_03	26	NA
I1	Explant_DVP_03	27	NA
I2	Explant_DVP_03	28	NA
I3	Explant_DVP_03	29	NA
I4	Explant_DVP_03	30	globular
I5	Explant_DVP_03	31	intermediate
I6	Explant_DVP_03	32	NA
I7	Explant_DVP_03	33	NA
I8	Explant_DVP_03	34	NA
I9	Explant_DVP_03	35	intermediate
I10	Explant_DVP_03	36	NA
I11	Explant_DVP_03	37	globular
I12	Explant_DVP_03	38	NA
I13	Explant_DVP_03	39	fibrillar
I14	Explant_DVP_03	40	globular
I15	Explant_DVP_03	41	NA
I16	Explant_DVP_03	42	NA
I17	Explant_DVP_03	43	NA
I18	Explant_DVP_03	44	intermediate
I19	Explant_DVP_03	45	NA
I20	Explant_DVP_03	46	NA
I21	Explant_DVP_03	47	NA
I22	Explant_DVP_03	48	NA
J1	Explant_DVP_03	49	NA
J2	Explant_DVP_03	50	NA
J3	Explant_DVP_04	1	NA
J4	Explant_DVP_04	2	NA
J5	Explant_DVP_04	3	NA
J6	Explant_DVP_04	4	NA
J7	Explant_DVP_04	5	NA
J8	Explant_DVP_04	6	NA
J9	Explant_DVP_04	7	NA
J10	Explant_DVP_04	8	NA
J11	Explant_DVP_04	9	NA
J12	Explant_DVP_04	10	NA
J13	Explant_DVP_04	11	NA
J14	Explant_DVP_04	12	NA
J15	Explant_DVP_04	13	NA
J16	Explant_DVP_04	14	NA
J17	Explant_DVP_04	15	NA
J18	Explant_DVP_04	16	NA
J19	Explant_DVP_04	17	NA
J20	Explant_DVP_04	18	NA
J21	Explant_DVP_04	19	NA
J22	Explant_DVP_04	20	NA
K1	Explant_DVP_04	21	NA
K2	Explant_DVP_04	22	NA
K3	Explant_DVP_04	23	NA
K4	Explant_DVP_04	24	NA
K5	Explant_DVP_04	25	NA
K6	Explant_DVP_04	26	NA
K7	Explant_DVP_04	27	NA
K8	Explant_DVP_04	28	NA
K9	Explant_DVP_04	29	NA
K10	Explant_DVP_04	30	NA
K11	Explant_DVP_04	31	NA
K12	Explant_DVP_04	32	NA
K13	Explant_DVP_04	33	NA
K14	Explant_DVP_04	34	NA
K15	Explant_DVP_04	35	NA
K16	Explant_DVP_04	36	NA
K17	Explant_DVP_04	37	NA
K18	Explant_DVP_04	38	NA
K19	Explant_DVP_04	39	NA
K20	Explant_DVP_04	40	NA
K21	Explant_DVP_04	41	NA
K22	Explant_DVP_04	42	NA
L1	Explant_DVP_04	43	NA
L2	Explant_DVP_04	44	NA
L3	Explant_DVP_04	45	NA
L4	Explant_DVP_04	46	NA
L5	Explant_DVP_04	47	NA
L6	Explant_DVP_04	48	NA
L7	Explant_DVP_04	49	NA
L8	Explant_DVP_04	50	NA
L9	Explant_DVP_05	1	fibrillar
L10	Explant_DVP_05	2	NA
L11	Explant_DVP_05	3	intermediate
L12	Explant_DVP_05	4	NA
L13	Explant_DVP_05	5	NA
L14	Explant_DVP_05	6	intermediate
L15	Explant_DVP_05	7	intermediate
