sample_short	biology	well	batch	rank_id	spatial	area_gpt
scDVP-S1	Island	A1	SoSt	1	plusone	5169264.5
scDVP-S1	Island	A2	SoSt	2	minusone	4286254.5
scDVP-S1	Island	A3	SoSt	3	minusone	2563005.0
scDVP-S1	Island	A4	SoSt	4	minusone	5827395.0
scDVP-S1	Island	A5	SoSt	5	minusone	3709819.5
scDVP-S1	Island	A6	SoSt	6	minusone	6386950.5
scDVP-S1	Island	A7	SoSt	7	minusone	5057070.5
scDVP-S1	Island	A8	SoSt	8	minusone	5390159.5
scDVP-S1	Island	A9	SoSt	9	minusone	4028565.0
scDVP-S1	Island	A10	SoSt	10	minustwo	7747147.5
scDVP-S1	Island	A11	SoSt	11	minustwo	6233235.5
scDVP-S1	Island	A12	SoSt	12	minustwo	4778992.0
scDVP-S1	Island	A13	SoSt	13	minustwo	4852925.5
scDVP-S1	Island	A14	SoSt	14	minustwo	2364380.0
scDVP-S1	Island	A15	SoSt	15	minustwo	8186799.0
scDVP-S1	Border	A16	SoSt	16	plusone	7070197.5
scDVP-S1	Border	A17	SoSt	17	plusone	4204575.5
scDVP-S1	Border	A18	SoSt	18	plusone	8014324.0
scDVP-S1	Border	A19	SoSt	19	plusone	6458469.0
scDVP-S1	Border	A20	SoSt	20	NA	6989924.5
scDVP-S1	Border	A21	SoSt	21	plusone	7397774.0
scDVP-S1	Border	A22	SoSt	22	minusone	7749390.0
scDVP-S1	Border	B1	SoSt	23	minusone	2923754.0
scDVP-S1	Border	B2	SoSt	24	minustwo	8322814.5
scDVP-S1	Border	B3	SoSt	25	minusone	5541579.5
scDVP-S1	Border	B4	SoSt	26	minusone	5406840.0
scDVP-S1	Border	B5	SoSt	27	minusone	10046866.0
scDVP-S1	Border	B6	SoSt	28	NA	9692007.5
scDVP-S1	Border	B7	SoSt	29	plusone	5368976.0
scDVP-S1	Border	B8	SoSt	30	minusone	8509045.5
scDVP-S1	Border	B9	SoSt	31	minustwo	4691594.5
scDVP-S1	Border	B10	SoSt	32	minustwo	2785513.0
scDVP-S1	Border	B11	SoSt	33	minustwo	6020474.5
scDVP-S1	Border	B12	SoSt	34	minustwo	6214278.0
scDVP-S1	Border	B13	SoSt	35	plustwo	4302754.0
scDVP-S1	Border	B14	SoSt	36	plustwo	2953666.0
scDVP-S1	Border	B15	SoSt	37	plustwo	6351019.0
scDVP-S1	Border	B16	SoSt	38	plustwo	3403761.5
scDVP-S1	Border	B17	SoSt	39	plustwo	5291428.5
scDVP-S1	Border	B18	SoSt	40	plustwo	2851477.0
scDVP-S1	Border	B19	SoSt	41	plustwo	3241939.0
scDVP-S1	Border	B20	SoSt	42	plustwo	2948369.5
scDVP-S1	Border	B21	SoSt	43	plustwo	5680873.5
scDVP-S1	Border	B22	SoSt	44	plustwo	6188722.0
scDVP-S2	Island	C1	SoSt	1	minusone	6163235.0
scDVP-S2	Island	C2	SoSt	2	plusone	3677890.0
scDVP-S2	Island	C3	SoSt	3	minusone	3328991.0
scDVP-S2	Island	C4	SoSt	4	NA	5647675.5
scDVP-S2	Island	C5	SoSt	5	plusone	2843895.5
