Genes	Bin_1	Bin_2	Bin_3	Bin_4	Bin_5	Bin_6	Bin_7	Bin_8	Bin_9	Bin_10	adj.P.Val
A1BG	0.04332515767640168	0.05285610624644516	0.06208606383178622	0.07916416294894896	0.10339761957931752	0.13008796706856723	0.10589541262138336	0.10917566480619727	0.11176925652195065	0.20224258869900202	2.2934109006563165e-18
A1CF	0.12323408735087589	0.11812850875801109	0.09774473585693684	0.10137108890176151	0.11308886804776079	0.07786077023712629	0.10999604472973169	0.09213101490631001	0.09334239478287544	0.0731024864286105	1.3136631943547732e-5
A2M	0.05741999085309338	0.06831761164597841	0.0814473474431748	0.08227770681358805	0.099678172064221	0.0974832462116795	0.10031261161112849	0.10440402589085108	0.13468524074504112	0.1739740467212441	2.1530587210657452e-11
A2ML1	0.04096796424468853	0.07318520831078738	0.020488067486493105	0.03595256928095423	0.027980360901361398	0.07099025766471602	0.017253950537698962	0.08357333500287717	0.13078879405836236	0.4988194925120609	0.13084988455874522
AAAS	0.09222697583152366	0.10173301419433933	0.08938298201227204	0.10056398789733782	0.11713623408809797	0.10252425932564568	0.1090804496888128	0.106963484191941	0.09537935005169908	0.08500926271833065	0.5200194581690742
AACS	0.07380403215921283	0.07947138953275228	0.07753890198001853	0.0760614674952052	0.2510493515807437	0.0788435333988391	0.07144065134030332	0.10451380966336578	0.07802590820487015	0.10925095464468909	0.09933044009699313
AADAC	0.08830924493256517	0.08969659452896513	0.0887726724440536	0.10885976624975374	0.09641086104814879	0.1085269198750615	0.12321879686776814	0.07217849956145572	0.11073354736861962	0.1132930971236085	0.2736915043772502
AADAT	0.13954597797964693	0.12810868801716413	0.13680429187280901	0.09810696199762152	0.08323970113200015	0.10961226606142375	0.09714417016042644	0.07990754438698695	0.06885549859698423	0.0586748997949369	4.431378225177309e-6
AAK1	0.08977478551576162	0.0808112575718156	0.09711015418110579	0.07305378202424509	0.14024311966149722	0.07485481255760225	0.08826050508851384	0.09316511360125754	0.1567190913956381	0.10600737840256289	0.9283984845675903
AAMDC	0.10764512236967005	0.13123186364074513	0.09728416674701683	0.1049297614599397	0.1186045869227673	0.10607985485669581	0.12727588545161314	0.08588032475802124	0.05958091904712825	0.061487514746402516	0.8797344912206477
AARS1	0.09223303342757216	0.09283942508411543	0.09139013031348596	0.1009260386127038	0.10186334978693007	0.10888082317503135	0.11174404093501356	0.11257223312669673	0.09436390875557493	0.09318701678287594	0.013586185338458777
AARS2	0.09825918881195529	0.10024888471584541	0.1040494030596522	0.10847212473298061	0.08482141073366327	0.10564445451251858	0.09233549970930859	0.10797311523029972	0.10107596229507947	0.09711995619869684	0.838003713036349
AARSD1	0.09911075787762766	0.10251292128162434	0.09613102772503895	0.10022123866560592	0.10895525736765713	0.10434530443090394	0.11325540003696873	0.09831278297263583	0.08505445137126934	0.09210085827066823	0.2805206634486083
AASDHPPT	0.1100507903067217	0.10018513147427875	0.1003784633371855	0.10051679507292055	0.0884105981637689	0.10087054749454488	0.09901829888799074	0.10318644863281247	0.11237567916000911	0.08500724746976741	0.6259718042111986
AASS	0.13496850874473051	0.1231774668220167	0.11599399669191081	0.09489686424085776	0.09038255989385226	0.09451139414692042	0.09880801440930523	0.09395948032272165	0.09939576879928659	0.053905945928398105	1.3528894274948922e-8
AATK	0.09815688342910969	0.1006353420736213	0.12092488418354268	0.09540365945216507	0.10202389609533065	0.07534909480117231	0.12083840401849576	0.08108178934090894	0.12994673848409735	0.07563930812155617	0.3655876889321841
ABAT	0.11208952383180044	0.11471941393166732	0.11754287237106009	0.10282097146793157	0.08182834325062864	0.10219101396772734	0.11246400493726123	0.10494525706637188	0.09515738294767524	0.0562412162278762	0.004124166676870501
ABCA1	0.07722452699936917	0.09715544268261331	0.10399975995567072	0.09980790019796194	0.11159380270043609	0.07817924115127932	0.09130983995027887	0.08854753833319641	0.1362707153936256	0.11591123263556856	0.5335225683203035
ABCA10	0.12450790740791624	0.09836849650346326	0.10240863862218848	0.09524217938867803	0.08540566210669567	0.09290502276873898	0.09021456255458654	0.10165529932589537	0.11724262002011318	0.09204961130172433	0.0076294306163193605
ABCA6	0.11269970129320851	0.096932653050169	0.10656234186319372	0.08555392949545133	0.1004586877321888	0.09113423912707273	0.09574251933889553	0.1094325192204545	0.11856273126283434	0.08292067761653149	6.372891777637828e-5
