Genes	Bin_1	Bin_2	Bin_3	Bin_4	Bin_5	Bin_6	Bin_10
A1BG	0.11107231020764712	0.15252330108661946	0.15648162844716226	0.15837902972135817	0.136750122155907	0.11820971414304327	0.16658389423826273
A1CF	0.1355216712893162	0.14353532781473807	0.13910104758714617	0.12241729263906763	0.14867839537881836	0.13787405663960162	0.17287220865131198
A2M	0.13378876741991472	0.14768629464717697	0.14564085036005167	0.14149182644869832	0.14516466882660486	0.1493397216927251	0.13688787060482835
A2ML1	0.09612056516680507	0.132918459571345	0.08949702351155316	0.13417687295129238	0.20416246832709833	0.16675580440848603	0.17636880606341995
AAAS	0.12329455966749508	0.13768910622251265	0.14365072616423993	0.12899035108550944	0.15400059536845745	0.14132337144938747	0.171051290042398
AACS	0.11743294070783554	0.13137323218127822	0.14067711804797148	0.1394123338563261	0.15756687847973055	0.15224485672057855	0.16129264000627952
AADAC	0.13369842991916336	0.15358874656125268	0.14878013682293031	0.15577427440699818	0.13759894490102692	0.13179628303338298	0.13876318435524562
AADAT	0.20433635565457622	0.16977152429318626	0.11506819579778911	0.1318520878798369	0.11899979055309687	0.11930425274995438	0.14066779307156027
AAMDC	0.16411205597048592	0.1520591523345274	0.17208443752856856	0.15361940290924372	0.11745262602490009	0.13845481864785214	0.10221750658442216
AAMP	0.17027770825535618	0.12983407403073996	0.11688474526906856	0.13331348622649136	0.12377374159300011	0.16748002958401792	0.15843621504132596
AARS1	0.14583357775889383	0.14277643753876942	0.13940261318418334	0.13953823032737447	0.1564644550037105	0.12744811715616167	0.14853656903090673
AARS2	0.11835351171606369	0.136707584718504	0.14412176225552523	0.16688265838347965	0.13968539713593503	0.1261413325983857	0.16810775319210666
AARSD1	0.1419394232372319	0.14304572936078558	0.138561841530246	0.14406000747288975	0.1361246968209376	0.14122498234935416	0.15504331922855494
AASDHPPT	0.1421148368486239	0.13501497364878207	0.13699245143217129	0.1420465989439325	0.1445375925225931	0.14210019630351625	0.15719335030038079
AASS	0.25852382918245737	0.15266347531317062	0.13261658828422981	0.12205326533020144	0.12324931196292548	0.106789660343351	0.10410386958366437
