Genes	Bin_1	Bin_2	Bin_3	Bin_4	Bin_5	Bin_6	Bin_7	Bin_8	Bin_10
A1BG	0.07786029379082367	0.08387639726819432	0.09894851462053952	0.10547734304581673	0.11784661861267827	0.10907999920082062	0.12380344017083163	0.1604897731174744	0.12261762017282093
A1CF	0.10471798128037921	0.10338002066756957	0.11429927993314395	0.1003310122644908	0.11305982491541673	0.10789607983620284	0.10570451588108414	0.11807458056416638	0.13253670465754636
A2M	0.10326287839908516	0.08890703416327364	0.10472631165976173	0.1489658963383965	0.11304011131208971	0.10843769278421174	0.113804828468201	0.11418808856598699	0.10466715830899362
A2ML1	0.07156605530275086	0.10517721240184102	0.1738908196323958	0.03197964602762275	0.10182611800315841	0.11427982240920748	0.10035585625177874	0.16707911746545764	0.13384535250578727
AAAS	0.09632730184508512	0.09896050894765736	0.10396809505410752	0.1126411115528921	0.12150369327913708	0.11166804573692489	0.11200732282533453	0.10582795110854819	0.1370959696503132
AACS	0.09768776517268896	0.09928358573804921	0.11320665066160863	0.10455588822333688	0.1047304953766942	0.12056401637255551	0.10565072034657387	0.11830307029363414	0.13601780781485856
AADAC	0.10324083832753224	0.10680657003163511	0.09945306287738795	0.102406390981974	0.12095439618560219	0.11852632817979138	0.1013953378441667	0.14046186492254248	0.10675521064936794
AADAT	0.14760577775575187	0.13113036447162243	0.11799101316869125	0.13328794583362116	0.09404418328489822	0.08514262684980688	0.1009653481243037	0.0944693985316753	0.09536334197962916
AAMDC	0.1280757490324807	0.11059088089221214	0.11177446903092614	0.09947772927905449	0.12635062901830593	0.1101466499658953	0.10343830626088941	0.13377983880150918	0.07636574771872674
AAMP	0.13920437398663751	0.11681932613691581	0.10483904195421108	0.10474930709485361	0.10066134313872087	0.10507076531734776	0.10747431876830668	0.09631032835053424	0.12487119525247249
AARS1	0.11570865255398784	0.11940760938204377	0.11661816671529503	0.09349675898732239	0.10993038315490189	0.11294859351162381	0.1007500041756615	0.1137190309296529	0.11742080058951093
AARS2	0.08942841941506627	0.09410012114604466	0.10290550632150754	0.14008003928702636	0.11300131610798222	0.10562160968516335	0.12403485382020642	0.10159585815282823	0.12923227606417495
AARSD1	0.11115606688644666	0.11549573083982702	0.11355487041365779	0.10785908488286684	0.10952511378410057	0.10246296058585046	0.10396838199428665	0.1149184884515028	0.12105930216146123
AASDHPPT	0.11481410795074387	0.1091083612447107	0.10847137859970063	0.10370033204772298	0.11473835881736444	0.10292605473446093	0.11324370365754191	0.10883662868086101	0.12416107426689352
AASS	0.1767829275561144	0.102400882463668	0.10803697102266954	0.1922185425320328	0.08918081912683781	0.08199953710194978	0.09909201339906473	0.08298497194928962	0.0673033348483733
AATF	0.10815141827838926	0.11148099778752932	0.11838217698994183	0.09549127309709111	0.10171023682030948	0.11066572888396183	0.11161682858563912	0.17003313594324077	0.07246820361389729
ABAT	0.13789604158644506	0.10331902398162411	0.10868207722687305	0.14905854655854694	0.10425000033175957	0.09977409842979258	0.10602885748673296	0.08667878821896238	0.1043125661792634
ABCA1	0.11546063715989613	0.11413402972042956	0.1206861069278526	0.09977199341292659	0.11870625766607212	0.10445409041342442	0.10030190887267827	0.10178874917329742	0.12469622665342288
ABCA2	0.10963665233136531	0.11342570721527753	0.11190746705587008	0.13104287168447198	0.1281583939056172	0.1264967898499513	0.11099877295430678	0.07569743442320365	0.09263591057993621
ABCA6	0.15378979869328133	0.11703420819804608	0.11283354701675859	0.12565009656445378	0.10507157294312797	0.09643606030834943	0.1047715431752426	0.08148282443174829	0.10293034866899198
ABCA8	0.12963769083623772	0.11725336568111944	0.10524014748976834	0.10177310551646747	0.1032358815934521	0.1105782673891095	0.112830524279892	0.10623069191001294	0.11322032530394054
ABCB1	0.11467293797837418	0.1167908873436568	0.10850682801722808	0.11100816100862261	0.11376582064456746	0.10959178940413618	0.10288762611909581	0.10214735687335647	0.1206285926109625
