Protein.Group	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	Genes
P01009	3.6789746412938076	3.169173802376045	4.18877548021157	24.996968785217632	14.311245091151457	2.7520310079046056e-26	9.373417612923086e-23	48.66811603656467	SERPINA1
P49257	1.114282702135384	0.9232628473722831	1.305302556898485	22.267072554000336	11.56826021611335	2.2833625613791242e-20	3.888566442028648e-17	35.59154534870487	LMAN1
P01008	1.4893850088695155	1.1797685541880178	1.7990014635510132	19.723679835716116	9.53968678375022	7.43783253072866e-16	8.444419199887272e-13	25.55833348897814	SERPINC1
O00748	0.8498324441600796	0.657532398418956	1.0421324899012032	21.744429916585265	8.764054922942467	3.93593994489998e-14	3.3514528630823334e-11	21.71915507426135	CES2
P05155	0.7465243729112354	0.5708877544094733	0.9221609914129976	18.26385275106846	8.43004942144708	2.2820341334157416e-13	1.5545216516828032e-10	20.018943798647317	SERPING1
Q8NI22	1.0208026451281293	0.7726790110374289	1.2689262792188298	17.018094055837036	8.17024182062078	1.5323680172168653e-12	6.651261500386432e-10	18.178824426605846	MCFD2
Q9NZ08	0.6341164746382916	0.4780011025187596	0.7902318467578235	18.485152802806077	8.05704112564713	1.570829830102548e-12	6.651261500386432e-10	18.154210795486883	ERAP1
P01019	0.7880503393374012	0.5933086971764293	0.9827919814983731	18.585795225974916	8.025023325736354	1.658614702580524e-12	6.651261500386432e-10	18.09988936127133	AGT
O95881	0.9985069704857206	0.7568564773268578	1.2401574636445833	15.93362757110488	8.212076331928184	1.7575265268196678e-12	6.651261500386432e-10	18.049746618313858	TXNDC12
Q08380	2.28646670808064	1.7137600958311041	2.8591733203301755	19.864078577767184	7.918335180994698	2.978105260472938e-12	1.0143426517170827e-9	17.535117946523417	LGALS3BP
Q9UKY3	0.8840121057879285	0.6534334187606774	1.1145907928151797	21.014714004679398	7.61270292844822	2.1004579759143394e-11	6.503781696331127e-9	15.662654497534543	CES1P1
P01011	1.146006019635025	0.841580219196814	1.450431820073236	19.245564386063933	7.465460692714877	2.6936242327241657e-11	7.645403447215423e-9	15.404528557315746	SERPINA3
Q15293	0.6185975541430673	0.4504240837057889	0.7867710245803456	18.82915665132617	7.297178348666484	6.955246381821042e-11	1.822274552037113e-8	14.494623554064747	RCN1
P02787	0.6205255800039613	0.44846101154302487	0.7925901484648977	22.09860839049329	7.1518666870183925	1.2551131812908367e-10	3.053511068197564e-8	13.917594510754007	TF
Q969H8	0.9020711433777359	0.6459507696201633	1.1581915171353083	17.36099580774605	6.986326462891449	3.008573395536859e-10	6.831467323465694e-8	13.0793550462089	MYDGF
O95210	0.7056897113984032	0.5024575913653566	0.9089218314314498	18.12940642685909	6.887690926110171	4.830173222976154e-10	1.0282231248410489e-7	12.6220794026387	STBD1
Q96HE7	0.5270367758894491	0.37302355977318524	0.6810499920057129	18.626412422525657	6.787895431176719	7.780524262706478e-10	1.558850919928133e-7	12.162214286287139	ERO1A
P05154	1.2877057356995127	0.9124301873293499	1.6629812840696756	16.72646372061829	6.825339523313869	1.3593154436317834e-9	2.572126889449919e-7	11.67399214108774	SERPINA5
P23141	0.5930584090803934	0.41353674675197133	0.7725800714088156	25.276077910530944	6.551364726453992	2.2524046089804605e-9	4.037731630624973e-7	11.131324570906639	CES1
Q8NBJ7	0.6826295817423086	0.47359155740074105	0.8916676060838762	18.681222954347806	6.4760617815446855	3.2145661736038027e-9	5.474406193647276e-7	10.788506619123222	SUMF2
Q8NBS9	0.5772508347519518	0.3986757063218523	0.7558259631820514	20.92955080243441	6.410542287573618	4.374950238558033e-9	7.095752625013647e-7	10.491551821803835	TXNDC5
Q14696	0.5910573244396571	0.40280525169615006	0.7793093971831642	17.628974022155774	6.236111468616872	1.361439127820166e-8	2.1077553042524934e-6	9.441155985033522	MESD
P02753	0.8140582146286427	0.5471549792130525	1.0809614500442328	18.51304592761727	6.048571177648423	2.3469463495116703e-8	3.475521420189891e-6	8.874743657718327	RBP4
P00450	0.49820625668917995	0.33320210080467305	0.6632104125736868	19.642442939148978	5.987774900556811	3.099406920502136e-8	4.398574988012614e-6	8.607388990584692	CP
P00738	0.4948217715418973	0.3299594088646024	0.6596841342191923	21.56638402971594	5.9522128236890985	3.6448322351161576e-8	4.965719437122254e-6	8.45159598958022	HP
Q12904	-0.4651678837507532	-0.6255349905758412	-0.3048007769256652	16.55554301160445	-5.756535965803731	9.931112941717746e-8	1.3009757953650247e-5	7.510372596450782	AIMP1
P02763	0.8718065549962819	0.5675301390025309	1.176082970990033	18.918264351403522	5.68402640407255	1.2896613889914404e-7	1.6268839595943876e-5	7.247944153803193	ORM1
O75356	0.45247087820593407	0.2931315771645587	0.6118101792473094	20.727383830380813	5.631432665503069	1.5418395081360705e-7	1.8755376302540915e-5	7.067099248817662	ENTPD5
P23284	0.4509271248014105	0.29184481334286494	0.6100094362599561	21.958843539469967	5.6212854401602	1.6128271708288462e-7	1.8942377047734657e-5	7.023941254150676	PPIB
Q14697	0.3267252410121797	0.21122048334515706	0.4422299986792023	22.625190005710618	5.609626998397083	1.6983493493048458e-7	1.9281926279107683e-5	6.97440597023231	GANAB
P26885	0.4735525220960711	0.30471061705481206	0.6423944271373302	19.585294798305767	5.562103695173457	2.0953847970704934e-7	2.3022195544587424e-5	6.773044882532657	FKBP2
P02743	0.7374690747316985	0.4738387661453878	1.0010993833180093	20.06896079823548	5.547529828870674	2.2344357739435758e-7	2.3782775768911936e-5	6.711475464051217	APCS
P30040	0.3878538952321041	0.2451192364241812	0.530588554040027	20.483583503506072	5.388772970406084	4.4749776901845876e-7	4.55202362578163e-5	6.046439842719677	ERP29
P04217	0.5787871815873231	0.36576180721958446	0.7918125559550617	18.132119414480226	5.388759028363826	4.5440047937925846e-7	4.55202362578163e-5	6.035198505531939	A1BG
Q9UNW1	0.8623054569680659	0.5476228753336134	1.1769880386025184	14.815543681071158	5.455850880065737	5.623580385873909e-7	5.4725470840818674e-5	5.941838828149404	MINPP1
P26640	-0.33864780830489244	-0.4646604140261801	-0.2126352025836048	18.823906035603645	-5.330101430104289	5.85512857144011e-7	5.539602198423615e-5	5.794428232909716	VARS1
P26641	-0.2821359817083041	-0.3877324514966054	-0.17653951192000283	21.133707061937063	-5.298589177473834	6.609469965892565e-7	6.084285055089209e-5	5.673405834942658	EEF1G
Q9BY49	0.6042948282976522	0.37611026756857047	0.832479389026734	20.678684774595002	5.252472869044911	8.171442288971886e-7	7.324192746378486e-5	5.47381086524469	PECR
