Protein.Group	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	protein	Protein.Names	Genes	group
P01009	4.5328108000374385	4.137519106262285	4.928102493812592	25.865649311279892	22.91331154877348	2.504787090729633e-32	1.4793272557849212e-28	62.86864969874041	P01009	A1AT_HUMAN	SERPINA1	upregulated
P05154	2.1115202597705776	1.8818249488753382	2.341215570665817	18.239149640866156	18.36881246461016	4.839299027079558e-27	1.4290450026965934e-23	51.107036245208974	P05154	IPSP_HUMAN	SERPINA5	upregulated
P01011	1.7225419254089365	1.5291764458305748	1.9159074049872982	20.043246222003997	17.800361136227938	2.5721589880373214e-26	5.06372366111614e-23	49.47856990704358	P01011	AACT_HUMAN	SERPINA3	upregulated
P49257	1.512485776359392	1.3411619406860815	1.6838096120327024	23.500202872741866	17.640523416718267	4.141141676034296e-26	6.114395684664638e-23	49.01381733960746	P49257	LMAN1_HUMAN	LMAN1	upregulated
P01008	2.152504190093693	1.9006188219384375	2.404389558248949	22.039249687210482	17.07571989101359	2.2807417099708587e-25	2.6940121078175783e-22	47.34698033752486	P01008	ANT3_HUMAN	SERPINC1	upregulated
O00748	1.441578540346499	1.2597879681787065	1.6233691125142913	23.222110561420774	15.845462100681539	1.0673511203840141e-23	1.0506292861646646e-20	43.5799830317796	O00748	EST2_HUMAN	CES2	upregulated
Q8NBJ7	0.9856074312920665	0.8579875643251809	1.1132272982589522	19.881146106351647	15.432050600284871	4.0496021501731724e-23	3.4167071855603934e-20	42.27103651707274	Q8NBJ7	SUMF2_HUMAN	SUMF2	upregulated
Q9NZ08	1.0675090195652994	0.9283082156980406	1.2067098234325582	20.825786282257997	15.323845574736893	5.761021772253636e-23	4.2530743233662466e-20	41.92478907680539	Q9NZ08	ERAP1_HUMAN	ERAP1	upregulated
Q8NBS9	1.1865393291137316	1.02880614208051	1.3442725161469533	22.478020873973144	15.03131639605813	1.5050039206409747e-22	9.876170172561773e-20	40.98108650983233	Q8NBS9	TXND5_HUMAN	TXNDC5	upregulated
P29622	1.3005567647334113	1.124589885137432	1.4765236443293905	18.24817098607102	14.768498270035217	3.5990847065551413e-22	2.1256194276914666e-19	40.123678720485245	P29622	KAIN_HUMAN	SERPINA4	upregulated
P01019	1.2948891066463495	1.1155513242118162	1.4742268890808827	20.083009157120394	14.427754338213076	1.1291669790219884e-21	6.062600161912603e-19	38.998504904997226	P01019	ANGT_HUMAN	AGT	upregulated
P08185	1.9194290652555581	1.6522320433738085	2.1866260871373076	15.669591314594564	14.363326842815805	2.8446042565198813e-21	1.4000193949172016e-18	38.092719248527814	P08185	CBG_HUMAN	SERPINA6	upregulated
P04217	1.1302143387895196	0.9687621261585391	1.2916665514205001	19.924745497602075	13.987972456710535	5.048144549362024e-21	2.2934109006563165e-18	37.523570496679056	P04217	A1BG_HUMAN	A1BG	upregulated
Q15293	1.0410243375918955	0.8909747864870636	1.1910738886967274	19.97896333920727	13.863220763321753	7.7548823093515e-21	3.2052208793959452e-18	37.10050277566904	Q15293	RCN1_HUMAN	RCN1	upregulated
P05543	1.571683692920157	1.3495584489062395	1.7938089369340744	16.30491051032738	14.152302087135036	8.140588078384554e-21	3.2052208793959452e-18	37.06961208530506	P05543	THBG_HUMAN	SERPINA7	upregulated
P19652	1.6012842167550883	1.3697406897738285	1.832827743736348	20.023675044907417	13.818908318057264	9.036685444654555e-21	3.3356665147581127e-18	36.94972882053436	P19652	A1AG2_HUMAN	ORM2	upregulated
P07237	0.8714709410156893	0.7432735465306366	0.9996683355007421	25.99688562074257	13.583499420711073	2.045363265265758e-20	7.105832614505629e-18	36.14436646535977	P07237	PDIA1_HUMAN	P4HB	upregulated
P02763	1.4640638899551288	1.2444062277184018	1.6837215521918558	20.856364360416794	13.31838695778737	5.175940966685032e-20	1.6982837416245443e-17	35.22856455043111	P02763	A1AG1_HUMAN	ORM1	upregulated
