Protein.Group	low_moderate_fc	low_moderate_p	low_moderate_B	moderate_high_fc	moderate_high_p	moderate_high_B	diff_fc	diff_B	protein	Protein.Names	Genes	annotate	significant
Q96IG2	-0.49101037168471756	0.00954411933010121	0.5857086185207017	0.2361123524432543	0.3571707552595792	-5.541290915841438	-0.7271227241279719	6.12699953436214	Q96IG2	FXL20_HUMAN	FBXL20	TRUE	TRUE
P35503	-0.49817824530859767	0.009399547579498029	0.5867356006647624	0.14140165298252233	0.4870132165708888	-6.02592583942559	-0.63957989829112	6.612661440090353	P35503	UD13_HUMAN	UGT1A3	TRUE	TRUE
Q9HBR0	-0.45332242089470937	0.003194092435683197	2.1740105065618494	0.1602544280944639	0.48282136923823954	-5.974612220757672	-0.6135768489891733	8.148622727319522	Q9HBR0	S38AA_HUMAN	SLC38A10	TRUE	TRUE
O95167	-0.4650240989721051	0.007633427079560298	0.8641282477682006	0.1220356341330474	0.5648648612120333	-6.244723870516552	-0.5870597331051525	7.108852118284752	O95167	NDUA3_HUMAN	NDUFA3	TRUE	TRUE
Q5XPI4	-0.33504194933513126	0.026063897509283025	-0.7392486649989891	0.2470554570256159	0.20131799792200147	-4.624120508689909	-0.5820974063607471	3.88487184369092	Q5XPI4	RN123_HUMAN	RNF123	FALSE	TRUE
Q96K19	-0.317200494775448	0.04226123306246405	-1.4831533067925582	0.219117327581832	0.1006715205844576	-3.8884091732872905	-0.53631782235728	2.4052558664947323	Q96K19	RN170_HUMAN	RNF170	FALSE	TRUE
O95810	-0.38166860761389615	0.019408475749222616	-0.29447279729327125	0.13203539780000123	0.5781142836006035	-6.076606474454661	-0.5137040054138974	5.78213367716139	O95810	CAVN2_HUMAN	CAVIN2	TRUE	TRUE
Q9Y694	-0.43831980973601187	5.9299185717541e-4	4.308500404782744	0.05577521275274349	0.7557118911175559	-6.628425509663984	-0.49409502248875536	10.936925914446729	Q9Y694	S22A7_HUMAN	SLC22A7	TRUE	TRUE
O95169	-0.3989435392177195	0.00630746441161229	1.1683224900490359	0.06918846267368331	0.6789222027021176	-6.4909367548029415	-0.4681320018914028	7.659259244851977	O95169	NDUB8_HUMAN	NDUFB8	TRUE	TRUE
Q9UI32	-0.41636341911546604	0.044904467616668386	-1.5985017076684205	0.0422634781055068	0.7837473877188816	-6.673240926360405	-0.45862689722097283	5.074739218691985	Q9UI32	GLSL_HUMAN	GLS2	TRUE	TRUE
Q92781	-0.3464942132931116	0.010479404276272107	0.4188228353832315	0.11050330177516676	0.5525154371227001	-6.212488439537919	-0.45699751506827835	6.631311274921151	Q92781	RDH5_HUMAN	RDH5	TRUE	TRUE
O43272	-0.4993205048972811	0.0026394423156837917	2.393152239296753	-0.04268857073283664	0.910105986750083	-6.809556988449137	-0.4566319341644444	9.20270922774589	O43272	PROD_HUMAN	PRODH	TRUE	TRUE
Q6IC98	-0.4924330211408096	0.0023945371210603605	2.5385909322135483	-0.041720825221509945	0.8571745560827424	-6.7107601615321775	-0.4507121959192997	9.249351093745727	Q6IC98	GRAM4_HUMAN	GRAMD4	TRUE	TRUE
Q02928	-0.30848983775690875	0.0012296243778218323	3.2987926549902893	0.14203748178617887	0.12711183455672417	-4.167597888388743	-0.4505273195430876	7.466390543379032	Q02928	CP4AB_HUMAN	CYP4A11	TRUE	TRUE
Q5K4L6	-0.23060208118010106	0.02930414485525187	-0.955018942073254	0.19154939161674484	0.0774241262135236	-3.524205816170259	-0.4221514727968459	2.569186874097005	Q5K4L6	S27A3_HUMAN	SLC27A3	FALSE	TRUE
Q8NE18	-0.36996070019540434	0.03577527150342174	-1.0384239995935918	0.04078863330918211	0.8094666826653784	-6.532766807542816	-0.4107493335045864	5.4943428079492245	Q8NE18	NSUN7_HUMAN	NSUN7	TRUE	TRUE
P22310	-0.2989361755436645	0.03384762010952721	-1.1454839282670566	0.11161327364164562	0.43870770909402296	-5.877364240859693	-0.4105494491853101	4.7318803125926365	P22310	UD14_HUMAN	UGT1A4	FALSE	TRUE
Q9Y2P5	-0.34300737172385076	0.0025731904953411834	2.4358299694063303	0.05861733779963127	0.5792436274901056	-6.287952418685479	-0.40162470952348206	8.72378238809181	Q9Y2P5	S27A5_HUMAN	SLC27A5	TRUE	TRUE
Q9BV23	-0.2783584509137146	0.012168599881271443	0.19196252511137857	0.11867213543962575	0.39602384623823117	-5.749290231040672	-0.3970305863533403	5.941252756152051	Q9BV23	ABHD6_HUMAN	ABHD6	TRUE	TRUE
Q86U10	-0.5196529688893754	0.008747268416012725	0.6742182213226195	-0.1364964144642146	0.31790082517237317	-5.444225633609075	-0.38315655442516083	6.118443854931694	Q86U10	LPP60_HUMAN	ASPG	TRUE	TRUE
Q14749	-0.6312633666257753	0.00613979660666566	1.281825103119509	-0.25426245152693994	0.05659943200613022	-3.118516307893788	-0.3770009150988354	4.400341411013297	Q14749	GNMT_HUMAN	GNMT	FALSE	TRUE
Q8TD30	-0.30728864126447986	0.049368643946832366	-1.7334413813725194	0.06420348387710002	0.7139945076241753	-6.566529102488384	-0.37149212514157987	4.833087721115865	Q8TD30	ALAT2_HUMAN	GPT2	FALSE	TRUE
Q15166	-0.38510633656637977	4.3094823840080236e-4	4.782618697247137	-0.018973695211670614	0.8629727859501128	-6.769724713665891	-0.36613264135470913	11.552343410913029	Q15166	PON3_HUMAN	PON3	TRUE	TRUE
Q9BUP0	-0.4513516051659499	0.019964422067728936	-0.3269209965408866	-0.0960841306085282	0.7613591617308585	-6.483999768415304	-0.3552674745574217	6.157078771874417	Q9BUP0	EFHD1_HUMAN	EFHD1	TRUE	TRUE
Q68CZ2	-0.26939914333999476	0.04238233490197841	-1.4904910846493085	0.07893507030611473	0.7394432634683012	-6.584728442597001	-0.3483342136461095	5.0942373579476925	Q68CZ2	TENS3_HUMAN	TNS3	TRUE	TRUE
Q9P0J0	-0.27819256841248374	0.013653208545465433	0.051237582057213515	0.05133723988042985	0.7051749508337654	-6.543009365380758	-0.32952980829291356	6.594246947437972	Q9P0J0	NDUAD_HUMAN	NDUFA13	TRUE	TRUE
O14756	-0.39380384558884074	9.184706676333644e-4	3.673324515050047	-0.0707283203818606	0.5279120058898609	-6.147078720583634	-0.32307552520698013	9.82040323563368	O14756	H17B6_HUMAN	HSD17B6	TRUE	TRUE
Q9NNW7	-0.2250718885445146	0.024635090406623927	-0.7081063437183355	0.09392488122129898	0.4923318074827391	-6.04267973875499	-0.3189967697658136	5.334573395036655	Q9NNW7	TRXR2_HUMAN	TXNRD2	TRUE	TRUE
P07307	-0.27638084481708375	0.004271827528278119	1.782808646745397	0.023019618660201187	0.8857892824631326	-6.790032257981812	-0.29940046347728494	8.572840904727208	P07307	ASGR2_HUMAN	ASGR2	TRUE	TRUE
