Protein.Group	low_moderate_fc	low_moderate_p	low_moderate_B	moderate_high_fc	moderate_high_p	moderate_high_B	diff_fc	diff_B	protein	Protein.Names	Genes	annotate	significant
P02766	0.3087290150801061	0.008597707540928522	0.7004286851160817	0.7965464111868912	0.005783127865743185	-0.20329581807216535	-0.4878173961067851	0.903724503188247	P02766	TTHY_HUMAN	TTR	FALSE	TRUE
P36955	0.2760948729522729	0.011144189455362299	0.32546842248039365	0.45148531772233697	0.00829711276674125	-0.6900406790543148	-0.17539044477006405	1.0155091015347084	P36955	PEDF_HUMAN	SERPINF1	FALSE	TRUE
Q6UW63	0.43542545178196296	2.0002695020688985e-4	5.675028930003623	0.5313925519117424	6.026210431400576e-4	2.6288673424654103	-0.09596710012977944	3.0461615875382124	Q6UW63	PLGT2_HUMAN	POGLUT2	FALSE	TRUE
Q9UKR5	0.24134384502477882	0.07161943905829307	-2.3247309485140173	0.3274072559513761	0.045919967951388065	-2.8363925729799124	-0.08606341092659728	0.5116616244658951	Q9UKR5	ERG28_HUMAN	ERG28	FALSE	TRUE
P04179	0.21960134547666654	0.014005153313154528	0.019380537610969917	0.265264333058631	0.01489568161339494	-1.3941907917256184	-0.045662987581964465	1.4135713293365884	P04179	SODM_HUMAN	SOD2	FALSE	TRUE
P08697	0.4755328944800417	1.6119041578276716e-5	8.654786561172592	0.5169484686013608	1.0840783974801204e-5	7.308572186537091	-0.041415574121319076	1.346214374635501	P08697	A2AP_HUMAN	SERPINF2	FALSE	TRUE
P00747	0.3763882208848733	0.00812922800635743	0.7837800981892968	0.4175734171263887	0.0036919508367339333	0.3294403096427798	-0.0411851962415154	0.454339788546517	P00747	PLMN_HUMAN	PLG	FALSE	TRUE
P08709	0.49377324122557426	5.9299185717541e-4	4.206502364984487	0.5295798469553659	2.1758804740071904e-4	3.9684933259126787	-0.03580660572979161	0.23800903907180793	P08709	FA7_HUMAN	F7	FALSE	TRUE
Q9Y2Q3	0.17599616865128315	0.044631249941357566	-1.5785890189093195	0.1983003877854839	0.0638101086790222	-3.261193992703863	-0.022304219134200748	1.6826049737945437	Q9Y2Q3	GSTK1_HUMAN	GSTK1	FALSE	TRUE
P22352	0.3048247335211925	0.04998442874740746	-1.7655363385336482	0.3078952467316541	0.12978099254952238	-4.193555429751465	-0.0030705132104615895	2.4280190912178163	P22352	GPX3_HUMAN	GPX3	FALSE	TRUE
P00736	0.23647653387629083	0.011524784591129933	0.28516297506095345	0.22453213772614639	0.021654570848574303	-1.878922583358552	0.011944396150144448	2.1640855584195053	P00736	C1R_HUMAN	C1R	FALSE	TRUE
Q9UJ83	0.36007897709740155	1.5889411543829093e-4	6.03133356100875	0.34118021181382374	9.996249977957146e-5	4.914181948693075	0.018898765283577812	1.1171516123156744	Q9UJ83	HACL1_HUMAN	HACL1	FALSE	TRUE
Q2TB90	0.5914559288518848	0.01157239928875416	0.27273496871841374	0.5559826439922616	0.0076112557198661935	-0.5481352340567893	0.0354732848596232	0.8208702027752031	Q2TB90	HKDC1_HUMAN	HKDC1	FALSE	TRUE
P28288	0.3308722819296661	0.0012296243778218323	3.2831328085445657	0.2696295049660507	0.002924464412101928	0.6422586370805181	0.06124277696361541	2.6408741714640476	P28288	ABCD3_HUMAN	ABCD3	FALSE	TRUE
Q08426	0.3630552186374944	0.002832895290870687	2.2899285178773825	0.30139047867587343	0.002030018188392389	1.1214867185312398	0.061664739961620973	1.1684417993461427	Q08426	ECHP_HUMAN	EHHADH	FALSE	TRUE
P51659	0.3943560057712665	5.9299185717541e-4	4.194874257071844	0.33198578142091856	2.0913992776310064e-4	4.057572820031391	0.06237022435034795	0.1373014370404535	P51659	DHB4_HUMAN	HSD17B4	FALSE	TRUE
