sample_short	biology	spatial	well	batch	rank_id	area_gpt	included
scDVP-S1	Island	minusone	A9	SoSt	9	4028565	TRUE
scDVP-S1	Island	minustwo	A10	SoSt	10	7747147.5	TRUE
scDVP-S1	Island	minustwo	A11	SoSt	11	6233235.5	TRUE
scDVP-S1	Island	minustwo	A12	SoSt	12	4778992	FALSE
scDVP-S1	Island	minustwo	A13	SoSt	13	4852925.5	TRUE
scDVP-S1	Island	minustwo	A14	SoSt	14	2364380	TRUE
scDVP-S1	Island	minustwo	A15	SoSt	15	8186799	TRUE
scDVP-S1	Border	plusone	A16	SoSt	16	7070197.5	TRUE
scDVP-S1	Border	plusone	A17	SoSt	17	4204575.5	TRUE
scDVP-S1	Border	plusone	A18	SoSt	18	8014324	TRUE
scDVP-S1	Border	plusone	A19	SoSt	19	6458469	TRUE
scDVP-S1	Border	NA	A20	SoSt	20	6989924.5	FALSE
scDVP-S1	Border	plusone	A21	SoSt	21	7397774	TRUE
scDVP-S1	Border	minusone	A22	SoSt	22	7749390	TRUE
scDVP-S1	Island	plusone	A1	SoSt	1	5169264.5	TRUE
scDVP-S1	Island	minusone	A2	SoSt	2	4286254.5	TRUE
scDVP-S1	Island	minusone	A3	SoSt	3	2563005	FALSE
scDVP-S1	Island	minusone	A4	SoSt	4	5827395	TRUE
scDVP-S1	Island	minusone	A5	SoSt	5	3709819.5	TRUE
scDVP-S1	Island	minusone	A6	SoSt	6	6386950.5	TRUE
scDVP-S1	Island	minusone	A7	SoSt	7	5057070.5	TRUE
scDVP-S1	Island	minusone	A8	SoSt	8	5390159.5	TRUE
scDVP-S1	Border	minustwo	B9	SoSt	31	4691594.5	TRUE
scDVP-S1	Border	minustwo	B10	SoSt	32	2785513	TRUE
scDVP-S1	Border	minustwo	B11	SoSt	33	6020474.5	TRUE
scDVP-S1	Border	minustwo	B12	SoSt	34	6214278	FALSE
scDVP-S1	Border	plustwo	B13	SoSt	35	4302754	TRUE
scDVP-S1	Border	plustwo	B14	SoSt	36	2953666	TRUE
scDVP-S1	Border	plustwo	B15	SoSt	37	6351019	TRUE
