Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
ABCA4	"ABCR, ARMD2, CORD3, FFM, RP19, STGD, STGD1"	ENSG00000198691	"ATP binding cassette subfamily A member 4"	P78363	1	93992834-94121148	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Sensory transduction, Transport, Vision"	Translocase	"Age-related macular degeneration, Cone-rod dystrophy, Disease variant, Retinitis pigmentosa, Stargardt disease"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	43	"choroid plexus: 93.3;retina: 343.6"	"Group enriched"	"Detected in some"	5	"Cone photoreceptor cells: 261.7;Rod photoreceptor cells: 517.5"	"Cell type enriched"	"Detected in many"	6	"choroid plexus epithelial cell: 578.6"	"Cancer enhanced"	"Detected in many"		"Lung Adenocarcinoma (TCGA): 6.6;Lung Squamous Cell Carcinoma (TCGA): 7.5"	"Region enriched"	"Detected in many"	17	"choroid plexus: 313.0"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Not detected"	"Not detected"			"HPA064420, HPA078826"	Enhanced		Supported	"Endoplasmic reticulum"			NA	NA				"Cluster 39: Retina & Testis - Cilium"	"Cluster 36: Choroid plexus - Mixed function"	"Cluster 65: Non-specific - Unknown function"	"Cluster 66: Photoreceptor cells - Visual perception"		"Endoplasmic reticulum"		"HPA064420: , HPA078826: "	"unprognostic (1.47e-1)"	"unprognostic (1.02e-1)"	"unprognostic (1.50e-1)"	"unprognostic (2.82e-2)"					"unprognostic (1.71e-1)"							"unprognostic (2.91e-2)"	"unprognostic (1.15e-2)"	"unprognostic (7.68e-2)"	"unprognostic (6.63e-3)"	"unprognostic (3.50e-1)"	"unprognostic (2.63e-3)"								"unprognostic (1.32e-1)"		"unprognostic (5.65e-3)"
ADAMTS9	KIAA1312	ENSG00000163638	"ADAM metallopeptidase with thrombospondin type 1 motif 9"	Q9P2N4	3	64515654-64688000	"Cancer-related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"ER-Golgi transport, Protein transport, Transport"	"Hydrolase, Metalloprotease, Protease"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adipose tissue: 39.8"	"Cell type enhanced"	"Detected in many"		"Adipocytes: 159.7;Astrocytes: 79.9;Endometrial stromal cells: 165.1;Endothelial cells: 174.4;Mesothelial cells: 119.2;Smooth muscle cells: 65.7"	"Cell type enhanced"	"Detected in many"		"astrocyte: 283.4;vascular associated smooth muscle cell: 140.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Neuroblastoma: 45.5;testis cancer: 37.3"	"Breast - Endothelial cells, Heart muscle - Endothelial cells, Spleen - Fibroblast_1"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA028567, HPA028577, HPA028601"	Approved		Supported	"Endoplasmic reticulum,Vesicles"	"Secreted to extracellular matrix"	Transport	No	NA				"Cluster 7: Adipose tissue - Mixed function"	"Cluster 44: Non-specific - Mixed function"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 41: Adipocytes & Endothelial cells - Mixed function"		"Endoplasmic reticulum"	Vesicles	"HPA028567: AB_10599275, HPA028577: AB_10600330, HPA028601: AB_2672694"	"unprognostic (5.51e-2)"	"unprognostic (3.26e-1)"	"unprognostic (3.96e-2)"	"unprognostic (1.09e-1)"	"unprognostic (1.39e-1)"	"unprognostic (9.34e-3)"	"unprognostic (4.10e-1)"	"unprognostic (2.54e-1)"	"unprognostic (4.51e-2)"	"unprognostic (1.18e-1)"	"unprognostic (2.62e-3)"	"unprognostic (1.56e-3)"	"unprognostic (7.12e-2)"	"unprognostic (5.51e-3)"	"unprognostic (7.12e-2)"	"unprognostic (2.49e-1)"	"unprognostic (1.32e-2)"	"unprognostic (8.29e-3)"	"unprognostic (6.40e-2)"	"unprognostic (6.77e-2)"	"unprognostic (8.17e-2)"	"unprognostic (9.21e-2)"	"unprognostic (1.31e-1)"	"unprognostic (4.52e-1)"	"unprognostic (1.21e-1)"	"unprognostic (1.55e-1)"	"unprognostic (1.68e-1)"	"unprognostic (4.04e-2)"	"unprognostic (9.64e-2)"	"unprognostic (7.02e-3)"	"unprognostic (1.22e-1)"
AGPAT1	"LPAAT-alpha, LPLAT1"	ENSG00000204310	"1-acylglycerol-3-phosphate O-acyltransferase 1"	Q99943	6	32168212-32178096	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Lipid biosynthesis, Lipid metabolism, Phospholipid biosynthesis, Phospholipid metabolism"	"Acyltransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in all"		"Late spermatids: 99.7"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Region enhanced"	"Detected in all"		"hypothalamus: 65.3"	"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Skin - Sebaceous gland cells, Spleen - Fibroblast_1, Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA048478, HPA073355"	Approved		Supported	"Endoplasmic reticulum,Rods & Rings"			NA	NA			"Cluster 29: Non-specific - Unknown function"	"Cluster 66: Non-specific - Transcription"	"Cluster 1: Neurons - Mixed function"	"Cluster 28: Non-specific - Nuclear processes"	"Cluster 22: Proximal enterocytes - Digestion"	151	"Endoplasmic reticulum"	"Rods & Rings"	"HPA048478: AB_2680411, HPA073355: AB_2686596"	"unprognostic (2.94e-1)"	"unprognostic (3.94e-2)"	"unprognostic (2.24e-2)"	"unprognostic (1.16e-1)"	"unprognostic (9.09e-2)"	"unprognostic (2.74e-2)"	"unprognostic (8.60e-3)"	"unprognostic (2.60e-2)"	"unprognostic (1.78e-1)"	"unprognostic (3.12e-1)"	"unprognostic (2.77e-4)"	"unprognostic (1.35e-1)"	"unprognostic (5.51e-2)"	"unprognostic (8.08e-4)"	"unprognostic (5.43e-5)"	"unprognostic (1.66e-1)"	"unprognostic (1.20e-1)"	"unprognostic (1.93e-1)"	"unprognostic (1.50e-1)"	"unprognostic (1.21e-1)"	"unprognostic (3.43e-1)"	"unprognostic (2.64e-2)"	"unprognostic (4.22e-3)"	"unprognostic (1.54e-1)"	"unprognostic (1.97e-1)"	"unprognostic (2.27e-1)"	"unprognostic (2.57e-2)"	"unprognostic (1.93e-1)"	"unprognostic (6.29e-2)"	"unprognostic (2.20e-2)"	"unprognostic (6.92e-2)"
AGR2	"AG2, HAG-2, PDIA17, XAG-2"	ENSG00000106541	"Anterior gradient 2, protein disulphide isomerase family member"	O95994	7	16791811-16833433	"Predicted intracellular proteins"			"Disease variant, Proto-oncogene"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"cervix: 615.9;intestine: 1184.3;stomach 1: 1365.8"	"Cell type enhanced"	"Detected in many"		"Club cells: 1768.3;Distal enterocytes: 1389.8;Enteroendocrine cells: 1388.6;Gastric mucus-secreting cells: 2597.0;Intestinal goblet cells: 7831.2;Undifferentiated cells: 1511.5"	"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Stomach Adenocarcinoma (TCGA): 1285.3"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Esophageal cancer: 605.6;Gastric cancer: 837.5"	"Breast - Breast glandular cells, Colon - Colon enterocytes, Lung - Alveolar cells type 2, Minor Salivary Gland - Minor salivary glandular cells, Stomach - Gastric mucous cells, Testis - Early spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA007912	Enhanced		Supported	"Endoplasmic reticulum"	"Intracellular and membrane"	"No annotated function"	NA	NA		31000		"Cluster 45: Intestine - Digestion"	"Cluster 53: Neurons - Mixed function"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 16: Intestinal goblet cells - Mucin production"	295	"Endoplasmic reticulum"		"HPA007912: AB_1844879"	"unprognostic (7.71e-4)"	"unprognostic (1.33e-1)"	"unprognostic (1.33e-1)"	"unprognostic (3.33e-1)"	"unprognostic (1.96e-1)"	"unprognostic (8.39e-3)"			"unprognostic (3.25e-3)"		"unprognostic (3.94e-5)"	"unprognostic (1.81e-2)"	"unprognostic (5.69e-2)"	"unprognostic (3.40e-5)"	"unprognostic (4.50e-3)"	"unprognostic (8.70e-3)"	"unprognostic (4.14e-2)"	"unprognostic (4.25e-1)"	"unprognostic (4.01e-1)"	"unprognostic (4.30e-3)"	"unprognostic (2.27e-2)"	"unprognostic (1.65e-1)"	"unprognostic (5.64e-4)"	"unprognostic (8.99e-2)"	"unprognostic (1.35e-1)"	"unprognostic (9.11e-3)"		"unprognostic (5.36e-2)"	"unprognostic (1.02e-1)"	"unprognostic (2.00e-1)"	"unprognostic (3.09e-1)"
AGR3	"BCMP11, hAG-3, HAG3, PDIA18"	ENSG00000173467	"Anterior gradient 3, protein disulphide isomerase family member"	Q8TD06	7	16859412-16881987	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"fallopian tube: 217.5;intestine: 230.7;lung: 147.7"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 2: 316.3;Ciliated cells: 1021.0;Distal enterocytes: 365.9;Enteroendocrine cells: 327.6;Intestinal goblet cells: 689.4;Ionocytes: 347.5;Paneth cells: 692.8;Proximal enterocytes: 1057.5;Undifferentiated cells: 404.6"	"Cell type enriched"	"Detected in single"	72	"ependymal cell: 23.6"	"Cancer enhanced"	"Detected in many"		"Breast Invasive Carcinoma (TCGA): 327.0"	"Region enhanced"	"Detected in some"		"midbrain: 7.0"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	5	"breast cancer: 51.8;colorectal cancer: 65.3;Gastric cancer: 151.5"	"Breast - Breast glandular cells, Colon - Colon enterocytes, Lung - Alveolar cells type 2, Minor Salivary Gland - Minor salivary glandular cells, Stomach - Gastric mucous cells"	"Region enriched"	"Detected in some"	5	"olfactory bulb: 4.6"					HPA053942	Enhanced		Supported	"Endoplasmic reticulum,Vesicles"	"Intracellular and membrane"	"No annotated function"	NA	NA		94000		"Cluster 45: Intestine - Digestion"	"Cluster 46: Brainstem - Mixed function"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 22: Proximal enterocytes - Digestion"	21	"Endoplasmic reticulum"	Vesicles	"HPA053942: AB_2682317"	"unprognostic (5.81e-1)"	"unprognostic (1.74e-1)"	"unprognostic (1.22e-1)"	"unprognostic (6.85e-2)"	"unprognostic (2.98e-1)"	"unprognostic (1.46e-1)"	"unprognostic (5.77e-4)"		"unprognostic (1.45e-2)"				"unprognostic (3.06e-2)"		"unprognostic (7.93e-2)"	"unprognostic (1.56e-1)"	"unprognostic (8.85e-2)"	"unprognostic (1.29e-2)"	"unprognostic (2.38e-1)"	"unprognostic (6.09e-2)"	"unprognostic (3.42e-2)"	"unprognostic (3.77e-2)"	"unprognostic (1.49e-4)"	"unprognostic (1.33e-1)"	"unprognostic (7.37e-2)"	"unprognostic (5.61e-3)"		"unprognostic (2.28e-1)"	"unprognostic (2.87e-1)"	"unprognostic (5.24e-2)"	"unprognostic (2.28e-1)"
AMFR	"gp78, RNF45"	ENSG00000159461	"Autocrine motility factor receptor"	Q9UKV5	16	56361452-56425545	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Ubl conjugation pathway, Wnt signaling pathway"	"Receptor, Transferase"	"Disease variant, Hereditary spastic paraplegia, Neurodegeneration"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Early spermatids: 155.3;Hepatocytes: 133.9;Late spermatids: 128.9"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells, Testis - Early spermatids, Testis - Spermatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB026381, HPA029018, HPA064339, HPA077835"	Approved		Supported	"Endoplasmic reticulum,Golgi apparatus"			NA	NA			"Cluster 14: Non-specific - Unknown function"	"Cluster 14: Skeletal muscle - Muscle contraction"	"Cluster 21: Non-specific - Metabolism"	"Cluster 46: Lymphoma - Humoral immune response"	"Cluster 62: Hepatocytes - Metabolism"	105	"Endoplasmic reticulum, Golgi apparatus"		"CAB026381: , HPA029018: AB_2672869, HPA064339: , HPA077835: AB_2686856"	"unprognostic (2.06e-1)"	"unprognostic (9.85e-2)"	"unprognostic (2.08e-1)"	"unprognostic (2.46e-2)"	"unprognostic (1.44e-1)"	"unprognostic (3.77e-2)"	"unprognostic (2.65e-1)"	"unprognostic (5.85e-2)"	"unprognostic (1.99e-2)"	"unprognostic (1.51e-1)"	"unprognostic (1.94e-3)"	"unprognostic (4.03e-2)"	"unprognostic (2.91e-1)"	"unprognostic (1.16e-1)"	"unprognostic (8.67e-3)"	"unprognostic (1.18e-3)"	"unprognostic (1.15e-2)"	"unprognostic (3.29e-2)"	"unprognostic (1.07e-2)"	"unprognostic (1.61e-1)"	"unprognostic (2.24e-1)"	"unprognostic (1.53e-1)"	"unprognostic (3.33e-2)"	"unprognostic (9.90e-2)"	"unprognostic (5.99e-2)"	"unprognostic (4.61e-2)"	"unprognostic (3.40e-1)"	"unprognostic (2.39e-1)"	"unprognostic (4.27e-1)"	"unprognostic (1.83e-1)"	"unprognostic (9.59e-2)"
ANKLE2	"KIAA0692, Lem4, LEMD7"	ENSG00000176915	"Ankyrin repeat and LEM domain containing 2"	Q86XL3	12	132725503-132761832	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	"Cell cycle, Cell division, Mitosis"		"Disease variant, Primary microcephaly"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Spermatocytes: 194.0"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA003602, HPA074838"	Uncertain		Supported	"Endoplasmic reticulum,Plasma membrane"			NA	NA			"Cluster 45: Eosinophils - Unknown function"	"Cluster 78: Testis - Transcription"	"Cluster 23: Choroid plexus - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 70: Spermatocytes & Spermatids - Spermatid development"	31	"Endoplasmic reticulum, Plasma membrane"		"HPA003602: AB_1858349, HPA074838: "	"unprognostic (1.56e-1)"	"unprognostic (3.85e-1)"	"unprognostic (1.34e-1)"	"unprognostic (9.91e-4)"	"unprognostic (8.22e-2)"	"unprognostic (1.89e-2)"	"unprognostic (1.06e-1)"	"unprognostic (1.69e-1)"	"unprognostic (3.29e-1)"	"unprognostic (3.50e-2)"	"unprognostic (1.79e-1)"	"unprognostic (2.40e-3)"	"unprognostic (3.45e-1)"	"unprognostic (5.58e-5)"	"unprognostic (1.36e-3)"	"unprognostic (3.55e-2)"	"unprognostic (1.81e-2)"	"unprognostic (7.07e-2)"	"unprognostic (1.12e-1)"	"unprognostic (6.33e-2)"	"unprognostic (5.85e-2)"	"unprognostic (1.67e-1)"	"unprognostic (9.67e-4)"	"unprognostic (1.39e-2)"	"unprognostic (2.18e-2)"	"unprognostic (2.12e-2)"	"unprognostic (2.76e-1)"	"unprognostic (7.21e-2)"	"unprognostic (2.30e-1)"	"unprognostic (6.80e-2)"	"unprognostic (1.91e-1)"
ARL6IP1	"AIP1, ARL6IP, ARMER, KIAA0069, SPG61"	ENSG00000170540	"ADP ribosylation factor like GTPase 6 interacting protein 1"	Q15041	16	18791669-18801572	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	Apoptosis		"Disease variant, Hereditary spastic paraplegia, Neurodegeneration"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells, Liver - Hepatocytes, Spleen - Macrophages, Testis - Spermatocytes, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"							HPA045307	Uncertain		Supported	"Endoplasmic reticulum"			NA	Yes			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 17: Neuronal - Synaptic function"	"Cluster 14: Neurons - Synaptic function"	"Cluster 54: Non-specific - Transcription"	"Cluster 52: Non-specific - Cell proliferation"	88	"Endoplasmic reticulum"		"HPA045307: AB_10961042"	"unprognostic (3.01e-1)"	"unprognostic (7.09e-2)"	"unprognostic (1.72e-2)"	"unprognostic (3.07e-1)"	"unprognostic (7.02e-2)"	"unprognostic (1.66e-1)"	"unprognostic (3.17e-2)"	"unprognostic (3.40e-1)"	"unprognostic (2.12e-2)"	"unprognostic (3.71e-2)"	"unprognostic (1.08e-7)"	"unprognostic (1.08e-1)"	"unprognostic (2.22e-2)"	"unprognostic (8.98e-2)"	"unprognostic (6.37e-2)"	"unprognostic (3.64e-4)"	"unprognostic (1.54e-3)"	"unprognostic (5.23e-2)"	"unprognostic (2.02e-1)"	"unprognostic (1.32e-1)"	"unprognostic (1.85e-1)"	"unprognostic (7.31e-4)"	"unprognostic (3.84e-3)"	"unprognostic (1.19e-1)"	"unprognostic (3.65e-2)"	"unprognostic (5.62e-2)"	"unprognostic (3.73e-2)"	"unprognostic (2.40e-1)"	"unprognostic (3.11e-2)"	"unprognostic (1.38e-2)"	"unprognostic (6.17e-2)"
ATG2B	"BLTP4B, C14orf103, FLJ10242"	ENSG00000066739	"Autophagy related 2B"	Q96BY7	14	96279195-96363341	"Predicted intracellular proteins, Transporters"	"Autophagy, Lipid transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Excitatory neurons: 81.6;Oligodendrocyte precursor cells: 99.0;Oligodendrocytes: 78.4"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA001427, HPA005734, HPA019665"	Approved		Supported	"Endoplasmic reticulum,Vesicles"			NA	NA				"Cluster 39: Retina & Testis - Cilium"	"Cluster 37: Neurons - Mixed function"	"Cluster 30: Non-specific - Gene expression regulation"	"Cluster 76: Oligodendrocyte precursor - Unknown function"	6	"Endoplasmic reticulum, Vesicles"		"HPA001427: AB_1845551, HPA005734: , HPA019665: AB_2274278"	"unprognostic (6.01e-2)"	"unprognostic (5.92e-2)"	"unprognostic (2.44e-1)"	"unprognostic (3.56e-1)"	"unprognostic (1.52e-1)"	"unprognostic (3.82e-3)"	"unprognostic (2.10e-1)"	"unprognostic (2.18e-2)"	"unprognostic (1.16e-1)"	"unprognostic (3.37e-1)"	"unprognostic (3.80e-5)"	"unprognostic (6.91e-4)"	"unprognostic (5.30e-2)"	"unprognostic (4.46e-1)"	"unprognostic (3.50e-3)"	"unprognostic (3.94e-2)"	"unprognostic (1.15e-1)"	"unprognostic (2.60e-1)"	"unprognostic (3.30e-1)"	"unprognostic (2.22e-1)"	"unprognostic (1.57e-1)"	"unprognostic (3.77e-3)"	"unprognostic (8.45e-2)"	"unprognostic (1.28e-1)"	"unprognostic (2.10e-1)"	"unprognostic (3.37e-1)"	"unprognostic (1.55e-2)"	"unprognostic (9.02e-2)"	"unprognostic (3.86e-1)"	"unprognostic (4.50e-2)"	"unprognostic (2.00e-1)"
ATL2	"ARL6IP2, atlastin2"	ENSG00000119787	"Atlastin GTPase 2"	Q8NHH9	2	38293954-38377285	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"		Hydrolase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA029108, HPA075302"	Approved		Supported	"Endoplasmic reticulum"			NA	NA			"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 19: Non-specific - Basic cellular processes"	"Cluster 31: Non-specific - Transcription"	"Cluster 26: Non-specific - Mitochondria & RNA binding"	"Cluster 35: Respiratory epithelial cells - Unknown function"	24	"Endoplasmic reticulum"		"HPA029108: AB_10670557, HPA075302: AB_2732289"	"unprognostic (2.45e-1)"	"unprognostic (4.85e-2)"	"unprognostic (2.29e-1)"	"unprognostic (1.75e-3)"	"unprognostic (2.92e-2)"	"unprognostic (1.96e-1)"	"unprognostic (2.10e-1)"	"unprognostic (6.94e-2)"	"unprognostic (8.19e-2)"	"unprognostic (2.65e-2)"	"unprognostic (1.05e-5)"	"unprognostic (1.74e-2)"	"unprognostic (1.04e-2)"	"unprognostic (5.44e-2)"	"unprognostic (6.00e-4)"	"unprognostic (5.24e-2)"	"unprognostic (6.62e-2)"	"unprognostic (2.15e-1)"	"unprognostic (1.94e-1)"	"unprognostic (8.96e-2)"	"unprognostic (1.62e-1)"	"unprognostic (2.61e-4)"	"unprognostic (2.74e-1)"	"unprognostic (1.00e-1)"	"unprognostic (5.07e-4)"	"unprognostic (8.25e-2)"	"unprognostic (9.31e-2)"	"unprognostic (1.45e-1)"	"unprognostic (2.20e-1)"	"unprognostic (1.02e-1)"	"unprognostic (1.94e-1)"
