Protein.Group	low_moderate_fc	low_moderate_p	low_moderate_B	moderate_high_fc	moderate_high_p	moderate_high_B	diff_fc	diff_B	protein	Protein.Names	Genes	annotate	significant
P53999	0.3839200701877883	0.12609304873751936	-3.2635875831455676	-0.26052444857119034	0.016742869529781393	-1.5308105068938564	0.6444445187589787	-1.7327770762517112	P53999	TCP4_HUMAN	SUB1	FALSE	TRUE
O75367	0.37887597273821055	0.06740476297540973	-2.201439598666431	-0.24360014405679192	0.008260266366024399	-0.679706755010038	0.6224761167950025	-1.5217328436563928	O75367	H2AY_HUMAN	MACROH2A1	FALSE	TRUE
Q9NPF4	-0.14479491170636039	0.8394316030052721	-6.058018051495442	-0.7604538453913494	0.014619769218009792	-1.0333932704020015	0.615658933684989	-5.024624781093441	Q9NPF4	OSGEP_HUMAN	OSGEP	TRUE	TRUE
Q96I15	0.30742346669233594	0.03589984466581559	-1.2478841181469624	-0.2500504851267903	0.00688850574128971	-0.43213798440578177	0.5574739518191263	-0.8157461337411807	Q96I15	SCLY_HUMAN	SCLY	FALSE	TRUE
P20962	0.29237823538958624	0.35597463880577923	-4.911867070336111	-0.25159348870897963	0.02316562802918326	-1.984245573569904	0.5439717240985659	-2.927621496766207	P20962	PTMS_HUMAN	PTMS	FALSE	TRUE
P78347	0.2544005008577658	0.1655839241419888	-3.704168612477725	-0.2356540178411603	0.0219581994566044	-1.896612745272849	0.4900545186989261	-1.8075558672048762	P78347	GTF2I_HUMAN	GTF2I	FALSE	TRUE
P04181	-0.43857497789978633	0.05839246770462524	-1.9707508005514196	-0.917495436279115	3.201645144279099e-4	3.5884525522597492	0.4789204583793287	-5.559203352811169	P04181	OAT_HUMAN	OAT	TRUE	TRUE
Q92522	-0.017163945494250914	0.966952367263999	-6.424725202993602	-0.401044656054989	0.00688850574128971	-0.4326616634139331	0.3838807105607381	-5.992063539579669	Q92522	H1X_HUMAN	H1-10	TRUE	TRUE
Q9NSY1	-0.09246529078365717	0.7914944394320846	-6.243314913350393	-0.4560487254084702	0.03013152552824019	-2.2306333695926304	0.363583434624813	-4.012681543757763	Q9NSY1	BMP2K_HUMAN	BMP2K	FALSE	TRUE
Q6IAA8	-0.05086126224875199	0.6242700171572554	-5.8913784757207175	-0.4002172351462069	1.712674726144562e-4	4.274285223627237	0.3493559728974549	-10.165663699347954	Q6IAA8	LTOR1_HUMAN	LAMTOR1	TRUE	TRUE
Q9P209	0.18514304577907617	0.19803659617696548	-3.989838749023151	-0.150483766147558	0.046336690344165876	-2.848464745917078	0.3356268119266342	-1.1413740031060726	Q9P209	CEP72_HUMAN	CEP72	FALSE	TRUE
P22314	0.17262726731478914	0.03906676869181072	-1.373129270200562	-0.14359778386062708	0.012617464172469414	-1.1964743081175158	0.3162250511754162	-0.1766549620830462	P22314	UBA1_HUMAN	UBA1	FALSE	TRUE
Q8IY95	-0.17277071863287244	0.1655839241419888	-3.6949851743272037	-0.4857567496044412	0.0014630531084446781	1.54431567692985	0.31298603097156874	-5.239300851257054	Q8IY95	TM192_HUMAN	TMEM192	TRUE	TRUE
Q9H3P7	-0.059634320549245154	0.78835174920351	-6.24933243966645	-0.36963302632039213	4.458571327568874e-4	3.0478329261202735	0.30999870577114697	-9.297165365786723	Q9H3P7	GCP60_HUMAN	ACBD3	TRUE	TRUE
O60885	-0.19337399575152275	0.5123207940417617	-5.511547807404825	-0.4812644638002116	0.041162150397788366	-2.572438599095112	0.28789046804868884	-2.939109208309713	O60885	BRD4_HUMAN	BRD4	FALSE	TRUE
Q14789	-0.006667663484178283	0.975283404824887	-6.444104906402801	-0.2782611328675707	5.756875984783141e-4	2.7158679624464366	0.2715934693833924	-9.159972868849238	Q14789	GOGB1_HUMAN	GOLGB1	TRUE	TRUE
O43159	-0.14659060132980795	0.5786664694524989	-5.6906716578738745	-0.41261282210252415	0.012091095681658686	-0.931976165042399	0.2660222207727162	-4.7586954928314755	O43159	RRP8_HUMAN	RRP8	FALSE	TRUE
P08473	-0.1867242299180183	0.12609304873751936	-3.2106914625153564	-0.44931965728874596	0.009552590485146945	-0.7644160699015004	0.26259542737072766	-2.446275392613856	P08473	NEP_HUMAN	MME	FALSE	TRUE
Q14978	-0.01210711422104222	0.9718971590858247	-6.4262519691212	-0.27459965495718497	0.043934129083638286	-2.771580677404571	0.26249254073614275	-3.654671291716629	Q14978	NOLC1_HUMAN	NOLC1	FALSE	TRUE
Q9C0J8	-0.11573280056556111	0.6538753679185456	-5.872172787274772	-0.35972413806613707	0.04131453042206516	-2.6260353107520125	0.24399133750057594	-3.24613747652276	Q9C0J8	WDR33_HUMAN	WDR33	FALSE	TRUE
P21439	-0.09454310529976882	0.4513571998081294	-5.35929166831063	-0.3353239063774912	0.009604232936563801	-0.865755960419639	0.24078080107772237	-4.493535707890991	P21439	MDR3_HUMAN	ABCB4	FALSE	TRUE
Q0VF96	-0.06383365412280288	0.557204431181724	-5.716226728425623	-0.2855213704601602	0.0025253128163702466	0.8586006330146496	0.2216877163373573	-6.574827361440272	Q0VF96	CGNL1_HUMAN	CGNL1	TRUE	TRUE
Q9NR19	-0.01567844901717332	0.925319680007487	-6.398919087886995	-0.22392076901060662	0.013096645207041168	-1.2209448691423432	0.2082423199934333	-5.177974218744652	Q9NR19	ACSA_HUMAN	ACSS2	TRUE	TRUE
Q9BWF3	-0.02127548905716862	0.9419626279120307	-6.426554548049251	-0.22525506117688007	0.04742501443252346	-2.8756566579061005	0.20397957211971146	-3.5508978901431503	Q9BWF3	RBM4_HUMAN	RBM4	FALSE	TRUE
P11117	-0.0649313370852745	0.5747127077711656	-5.767896820824761	-0.2676609187047577	0.02219324293023337	-1.9198887800380762	0.20272958161948323	-3.8480080407866852	P11117	PPAL_HUMAN	ACP2	FALSE	TRUE
Q9NVJ2	-0.07308055234800102	0.6046374838117548	-5.839908762153865	-0.25157751914736504	0.02116641444298575	-1.8383185004126794	0.178496966799364	-4.001590261741185	Q9NVJ2	ARL8B_HUMAN	ARL8B	FALSE	TRUE
P49327	-0.031664598864384594	0.790294679678282	-6.2559647396976725	-0.20101016630512905	0.0016401694778277428	1.4045391121996094	0.16934556744074447	-7.660503851897282	P49327	FAS_HUMAN	FASN	TRUE	TRUE
P13929	-0.14451315705453574	0.41276748491658444	-5.201372904324427	-0.30993607963252123	0.0219581994566044	-1.8964283537791822	0.1654229225779855	-3.304944550545245	P13929	ENOB_HUMAN	ENO3	FALSE	TRUE
P15144	-0.12667278748501604	0.2761403973788454	-4.497717066175976	-0.28564768626900494	0.0011132998306335907	1.8898690322032525	0.1589748987839889	-6.387586098379229	P15144	AMPN_HUMAN	ANPEP	TRUE	TRUE
Q13619	-0.02154201872505556	0.905755968245901	-6.3936830234171556	-0.18017598690240022	0.017202898015171813	-1.5764099148960904	0.15863396817734465	-4.817273108521065	Q13619	CUL4A_HUMAN	CUL4A	FALSE	TRUE
Q6P996	-0.07713023940416219	0.5775211186737901	-5.774149076670471	-0.22892522635232485	0.03586499710719121	-2.5228100582458	0.15179498694816265	-3.2513390184246713	Q6P996	PDXD1_HUMAN	PDXDC1	FALSE	TRUE
Q99447	-0.07231417766440719	0.5448482539777639	-5.675053572063564	-0.2174863835530745	0.009864133821646524	-0.8999924058494377	0.1451722058886673	-4.775061166214126	Q99447	PCY2_HUMAN	PCYT2	FALSE	TRUE
Q96HC4	-0.0674626777020301	0.5154239454525281	-5.5754233208936785	-0.2043337937999384	0.00895852066366351	-0.7755491599086257	0.1368711160979083	-4.799874160985053	Q96HC4	PDLI5_HUMAN	PDLIM5	FALSE	TRUE
P50990	-0.04174427633006187	0.6115362631543004	-5.865231089805462	-0.17749556407963027	0.005304310457119305	-0.10949060409558431	0.1357512877495684	-5.755740485709878	P50990	TCPQ_HUMAN	CCT8	TRUE	TRUE
Q9NQ94	-0.07547516047114543	0.49342783779965166	-5.495306606620466	-0.20890851670566987	0.012617464172469414	-1.1946261743887376	0.13343335623452446	-4.3006804322317285	Q9NQ94	A1CF_HUMAN	A1CF	FALSE	TRUE
Q9P2M7	-0.12323337085947017	0.1650028070888804	-3.6796369604865586	-0.25514471893966567	0.0029926507016185162	0.588916472567667	0.1319113480801955	-4.268553433054226	Q9P2M7	CING_HUMAN	CGN	FALSE	TRUE
Q6IQ23	-0.19563257223121314	0.11129247980063886	-3.0701367907215493	-0.3267672974174741	0.03635788608822026	-2.5374466376310867	0.131134725186261	-0.5326901530904626	Q6IQ23	PKHA7_HUMAN	PLEKHA7	FALSE	TRUE
P62277	-0.038603373494039805	0.7770828271424978	-6.233981643920179	-0.1586296476508972	0.03956981863726108	-2.6385652046469312	0.1200262741568574	-3.595416439273248	P62277	RS13_HUMAN	RPS13	FALSE	TRUE
P50914	-0.07118096830806261	0.5057651956330601	-5.538969895216047	-0.19075187652253475	0.027277079755645164	-2.1842188297473335	0.11957090821447214	-3.3547510654687134	P50914	RL14_HUMAN	RPL14	FALSE	TRUE
Q14254	-0.10800364482479897	0.38009359247210006	-5.029485708850811	-0.22686959161421352	0.012425808538717581	-1.1710300357237173	0.11886594678941455	-3.858455673127094	Q14254	FLOT2_HUMAN	FLOT2	FALSE	TRUE
P48643	-0.0530781132734887	0.5781510580684552	-5.776999320449196	-0.17023292358256323	0.006017931323754917	-0.25899109562846157	0.11715481030907453	-5.5180082248207345	P48643	TCPE_HUMAN	CCT5	TRUE	TRUE
P00325	-0.05687055719789904	0.6923310804471584	-6.055956042175873	-0.17290197599605658	0.021375575519135274	-1.855397755754809	0.11603141879815754	-4.200558286421064	P00325	ADH1B_HUMAN	ADH1B	FALSE	TRUE
Q96NA2	-0.11833224101799177	0.3368648593316588	-4.833000717040639	-0.23054734059924614	0.030919568867307724	-2.3534456516546083	0.11221509958125438	-2.4795550653860303	Q96NA2	RILP_HUMAN	RILP	FALSE	TRUE
O76054	-0.08022384958484816	0.5161602959340238	-5.590136661209529	-0.192028104594703	0.002965291508477179	0.6173339567367204	0.11180425500985483	-6.2074706179462495	O76054	S14L2_HUMAN	SEC14L2	TRUE	TRUE
P49207	-0.07709749395186598	0.4045056559046472	-5.165322067205984	-0.18055357327221846	0.04220996939957426	-2.7202685750560915	0.10345607932035249	-2.445053492149892	P49207	RL34_HUMAN	RPL34	FALSE	TRUE
Q9NP58	-0.18228789891396932	0.22584394701701402	-4.207755711299919	-0.2785087340817172	0.00203713120399428	1.1095831939162464	0.0962208351677479	-5.3173389052161655	Q9NP58	ABCB6_HUMAN	ABCB6	TRUE	TRUE
P62263	-0.09336804859424264	0.2437352618597294	-4.319634334807766	-0.1858675646555374	0.04162679047780963	-2.701987267952064	0.09249951606129475	-1.6176470668557021	P62263	RS14_HUMAN	RPS14	FALSE	TRUE
Q07157	-0.09591097721759259	0.380403438628382	-5.033079139658103	-0.18449744631002746	0.022393072701928786	-1.9305564953776155	0.08858646909243487	-3.102522644280487	Q07157	ZO1_HUMAN	TJP1	FALSE	TRUE
Q06520	-0.15001219574055163	0.2809510183087874	-4.517333064058205	-0.2270543522395004	0.03861115942432312	-2.606572891413369	0.07704215649894877	-1.910760172644836	Q06520	ST2A1_HUMAN	SULT2A1	FALSE	TRUE
Q92887	-0.20931613004941016	0.08635879382210705	-2.6150313769158733	-0.28593268976850533	0.0212714475331763	-1.848508345682613	0.07661655971909517	-0.7665230312332603	Q92887	MRP2_HUMAN	ABCC2	FALSE	TRUE
P07327	-0.125600481598713	0.35214774150215117	-4.899181474653685	-0.2017910801783972	0.01120091628412253	-1.0470709916179954	0.07619059857968419	-3.8521104830356894	P07327	ADH1A_HUMAN	ADH1A	FALSE	TRUE
Q13310	-0.1018717145349489	0.14936946325265227	-3.5460368006409477	-0.17731580911742262	0.017538619378261844	-1.5996609462263072	0.07544409458247371	-1.9463758544146406	Q13310	PABP4_HUMAN	PABPC4	FALSE	TRUE
Q8N6H7	-0.12126107454535597	0.32566203967364304	-4.764539830185685	-0.19644030145404445	0.0167356381636708	-1.5278890210297602	0.07517922690868849	-3.2366508091559245	Q8N6H7	ARFG2_HUMAN	ARFGAP2	FALSE	TRUE
P11940	-0.08967500217247201	0.17621802616802576	-3.808445327711444	-0.16258463482817348	0.003263431550907249	0.47650540876250513	0.07290963265570147	-4.284950736473949	P11940	PABP1_HUMAN	PABPC1	FALSE	TRUE
P53621	-0.06419776888124283	0.4315095121658812	-5.275968145855607	-0.13652720214341502	0.019318763771316378	-1.7202196099778613	0.07232943326217219	-3.555748535877746	P53621	COPA_HUMAN	COPA	FALSE	TRUE
Q02878	-0.10363787684309872	0.14756963789109845	-3.5079244190687744	-0.16512639344861288	0.02316562802918326	-1.9805642683130849	0.06148851660551416	-1.5273601507556895	Q02878	RL6_HUMAN	RPL6	FALSE	TRUE
O75153	-0.07849369922184332	0.3174584882926026	-4.71950144164876	-0.13806527231007007	0.04488389143769433	-2.8031531958034037	0.05957157308822675	-1.9163482458453567	O75153	CLU_HUMAN	CLUH	FALSE	TRUE
