GENE PRODUCT DB	Protein.Group	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A024R6A3	PSEN1	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A024R6A3	PSEN1	involved_in	GO:0016485	protein processing	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P49769|ensembl:ENSMUSP00000098786	9606	Ensembl		P
UniProtKB	A0A024R6A3	PSEN1	involved_in	GO:0016485	protein processing	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P97887|ensembl:ENSRNOP00000012495	9606	Ensembl		P
UniProtKB	A0A024R8S5	A0A024R8S5	involved_in	GO:0030070	insulin processing	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P09103|ensembl:ENSMUSP00000026122	9606	Ensembl		P
UniProtKB	A0A087X1D5	CORIN	involved_in	GO:0016486	peptide hormone processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR017052	9606	InterPro		P
UniProtKB	A0A0A0MR04	SEC11C	involved_in	GO:0006465	signal peptide processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001733|InterPro:IPR019533	9606	InterPro		P
UniProtKB	A0A0B4J221	IMMP1L	involved_in	GO:0006465	signal peptide processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR019533	9606	InterPro		P
UniProtKB	A0A0C4DG32	IMMP2L	involved_in	GO:0006465	signal peptide processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR019533|InterPro:IPR037730	9606	InterPro		P
UniProtKB	A0A0C4DG32	IMMP2L	involved_in	GO:0006627	protein processing involved in protein targeting to mitochondrion	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR037730	9606	InterPro		P
UniProtKB	A0A0S2Z4D2	PSEN1	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A140VJE4	A0A140VJE4	involved_in	GO:0016485	protein processing	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O88325|ensembl:ENSMUSP00000001802	9606	Ensembl		P
UniProtKB	A0A1R3UCE9	KLNL	involved_in	GO:0016485	protein processing	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8CGR6|ensembl:ENSMUSP00000065308	9606	Ensembl		P
UniProtKB	A0A218KGN3	PSEN1	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A218KGN4	PSEN1	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A218KGN7	PSEN1	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A218KGP0	PSEN1	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A218KGP1	PSEN1	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A218KGP3	PSEN1	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A218KGQ3	PSEN1	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A218KGQ4	PSEN2	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A218KGQ6	PSEN1	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A2R8YCK1	NCSTN	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008710	9606	InterPro		P
UniProtKB	A0A384N679	A0A384N679	involved_in	GO:0030070	insulin processing	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q00493|ensembl:ENSMUSP00000048555	9606	Ensembl		P
UniProtKB	A0A3B3IS22	IMMP1L	involved_in	GO:0006465	signal peptide processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR019533	9606	InterPro		P
UniProtKB	A0A5F9YFS9	SPCS1	involved_in	GO:0006465	signal peptide processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR009542	9606	InterPro		P
UniProtKB	A0A669KA35	PCSK5	involved_in	GO:0016485	protein processing	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q04592|ensembl:ENSMUSP00000025618	9606	Ensembl		P
UniProtKB	A0A669KA35	PCSK5	involved_in	GO:0016486	peptide hormone processing	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q04592|ensembl:ENSMUSP00000025618	9606	Ensembl		P
UniProtKB	A0A669KA35	PCSK5	involved_in	GO:0140447	cytokine precursor processing	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q04592|ensembl:ENSMUSP00000025618	9606	Ensembl		P
UniProtKB	A0A6Q8PHG9	ZMPSTE24	involved_in	GO:0071586	CAAX-box protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR027057	9606	InterPro		P
UniProtKB	A0A6Q8PHG9	ZMPSTE24	involved_in	GO:0071586	CAAX-box protein processing	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR001080772	9606	UniProt		P
UniProtKB	A0A6Q8PHM1	MYRF	involved_in	GO:0016540	protein autoprocessing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR026932	9606	InterPro		P
UniProtKB	A0A7I2V2W1	PSEN2	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A7I2V355	PSEN2	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A7I2V3R9	PSEN2	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A7I2V3Y8	PSEN2	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A7I2V4D0	PSEN2	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A7I2V4T4	PSEN2	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A7I2V4Y6	PSEN2	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A7I2V551	PSEN2	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A7I2V5L1	PSEN2	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A7I2V5Q3	PSEN2	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A7I2V5S6	PSEN2	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A7I2YQ93	PLAT	involved_in	GO:0031639	plasminogen activation	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR026280	9606	InterPro		P
UniProtKB	A0A8V8TLT5	PSEN1	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A8V8TNC8	NCSTN	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008710	9606	InterPro		P
UniProtKB	A0A8V8TNI3	NCSTN	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008710	9606	InterPro		P
UniProtKB	A0A8V8TNI9	NCSTN	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008710	9606	InterPro		P
UniProtKB	A0A8V8TNU8	NCSTN	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008710	9606	InterPro		P
UniProtKB	A0A8V8TNV3	NCSTN	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008710	9606	InterPro		P
UniProtKB	A0A8V8TNV7	NCSTN	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008710	9606	InterPro		P
UniProtKB	A0A8V8TPK5	PSEN1	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A8V8TPL0	PSEN1	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A8V8TPL5	PSEN1	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A8V8TPQ8	NCSTN	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008710	9606	InterPro		P
UniProtKB	A0A8V8TPR8	NCSTN	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008710	9606	InterPro		P
UniProtKB	A0A8V8TQ36	PSEN1	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A8V8TQ51	NCSTN	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008710	9606	InterPro		P
UniProtKB	A0A8V8TQ53	PSEN1	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A8V8TQ54	PSEN1	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A8V8TQ61	NCSTN	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008710	9606	InterPro		P
UniProtKB	A0A8V8TQ90	PSEN1	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A8V8TQ93	PSEN1	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A8V8TQT3	PSEN1	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A8V8TQU7	PSEN1	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A8V8TQV2	PSEN1	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A8V8TR50	PSEN1	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A8V8TR52	PSEN1	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A0A8V8TR55	PSEN1	involved_in	GO:0016485	protein processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001108	9606	InterPro		P
UniProtKB	A4D0S9	IMMP2L	involved_in	GO:0006465	signal peptide processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR019533|InterPro:IPR037730	9606	InterPro		P
