Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA single nuclei brain specificity	RNA single nuclei brain distribution	RNA single nuclei brain specificity score	RNA single nuclei brain specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	Secretome function	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Brain expression cluster	Cell line expression cluster	Single cell expression cluster	Interactions	Subcellular main location	Subcellular additional location	Antibody RRID	Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)	Cancer prognostics - Breast Invasive Carcinoma (TCGA)	Cancer prognostics - Breast Invasive Carcinoma (validation)	Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)	Cancer prognostics - Colon Adenocarcinoma (TCGA)	Cancer prognostics - Colon Adenocarcinoma (validation)	Cancer prognostics - Glioblastoma Multiforme (TCGA)	Cancer prognostics - Glioblastoma Multiforme (validation)	Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)	Cancer prognostics - Kidney Chromophobe (TCGA)	Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)	Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)	Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)	Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)	Cancer prognostics - Liver Hepatocellular Carcinoma (validation)	Cancer prognostics - Lung Adenocarcinoma (TCGA)	Cancer prognostics - Lung Adenocarcinoma (validation)	Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)	Cancer prognostics - Lung Squamous Cell Carcinoma (validation)	Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)	Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)	Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)	Cancer prognostics - Pancreatic Adenocarcinoma (validation)	Cancer prognostics - Prostate Adenocarcinoma (TCGA)	Cancer prognostics - Rectum Adenocarcinoma (TCGA)	Cancer prognostics - Rectum Adenocarcinoma (validation)	Cancer prognostics - Skin Cuteneous Melanoma (TCGA)	Cancer prognostics - Stomach Adenocarcinoma (TCGA)	Cancer prognostics - Testicular Germ Cell Tumor (TCGA)	Cancer prognostics - Thyroid Carcinoma (TCGA)	Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)
A1BG		ENSG00000121410	Alpha-1-B glycoprotein	P04217	19	58345178-58353492	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins				Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in single	1513	liver: 1194.2	Cell type enhanced	Detected in many		"Hepatocytes: 18.2;Oligodendrocytes: 8.1;Plasma cells: 8.2"	Low cell type specificity	Detected in all			Cancer enriched	Detected in single	1025	Liver Hepatocellular Carcinoma (TCGA): 592.9	Low region specificity	Detected in single			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected				Not detected	Not detected			Low region specificity	Detected in many			CAB016673, HPA044252	Supported				Secreted to blood	No annotated function	NA	NA	2E+11	72000000000		Cluster 31: Liver - Plasma proteins	Cluster 17: Choroid plexus - Cilium	Cluster 18: Liver cancer - Metabolism	Cluster 7: T-cells - T-cell receptor	4			CAB016673: AB_1611892, HPA044252: AB_2678876			unprognostic (3.18e-2)											unprognostic (1.96e-3)	unprognostic (3.48e-4)						unprognostic (1.40e-2)		unprognostic (2.30e-1)								
AFM	ALB2, ALBA	ENSG00000079557	Afamin	P43652	4	73481745-73504001	Plasma proteins, Predicted secreted proteins	Protein transport, Transport			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	12	liver: 932.0	Cell type enriched	Detected in some	8	Hepatocytes: 294.0	Not detected	Not detected			Cancer enriched	Detected in single	94	Liver Hepatocellular Carcinoma (TCGA): 74.9	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Kidney - Proximal tubular cells, Liver - Hepatocytes	Not detected	Not detected			Low region specificity	Detected in many			HPA017006, HPA052437	Enhanced		Uncertain	Plasma membrane	Secreted to blood	Transport	NA	NA	54900000000	15000000000		Cluster 1: Liver & Kidney - Metabolism		Cluster 55: Lymphoma - Immune response	Cluster 43: Hepatocytes - Metabolism	2	Plasma membrane		HPA017006: AB_1844635, HPA052437: AB_2732575														unprognostic (4.08e-5)	unprognostic (8.63e-7)																
AFP	FETA, HPAFP	ENSG00000081051	Alpha fetoprotein	P02771	4	73431138-73456174	Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins			Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in single	10	liver: 3.6	Group enriched	Detected in some	7	"Extravillous trophoblasts: 87.4;Hepatocytes: 131.6;Proximal tubular cells: 124.1"	Cell type enhanced	Detected in single		hippocampal CA4: 1.1	Group enriched	Detected in some	16	"Liver Hepatocellular Carcinoma (TCGA): 199.4;Testicular Germ Cell Tumor (TCGA): 68.4"	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	4	liver cancer: 642.2	Kidney - Proximal tubular cells, Liver - Hepatocytes	Not detected	Not detected			Not detected	Not detected			HPA010607, HPA023600, CAB024283, CAB025339, CAB080122	Approved		Approved	Golgi apparatus	Secreted to blood	No annotated function	NA	NA	3010000	68000000		Cluster 83: Liver - Metabolism		Cluster 18: Liver cancer - Metabolism	Cluster 56: Proximal tubular cells - Amino acid metabolism	5	Golgi apparatus		CAB024283: AB_2650473, CAB025339: , CAB080122: , HPA010607: AB_1078141, HPA023600: AB_1844769			unprognostic (1.27e-1)											unprognostic (2.00e-1)	unprognostic (4.96e-2)													unprognostic (1.04e-2)	unprognostic (6.89e-2)		
AGT	SERPINA8	ENSG00000135744	Angiotensinogen	P01019	1	230690776-230745576	Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins		Vasoactive, Vasoconstrictor	Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	6	liver: 1563.6	Group enriched	Detected in many	4	"Cholangiocytes: 984.4;Hepatocytes: 1899.1"	Group enriched	Detected in many	4	"astrocyte: 277.4;ependymal cell: 438.0"	Group enriched	Detected in all	9	"Glioblastoma Multiforme (TCGA): 391.4;Liver Hepatocellular Carcinoma (TCGA): 1349.9"	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in many	6	liver cancer: 204.0	Kidney - Proximal tubular cells, Liver - Hepatocytes, Testis - Late spermatids	Low region specificity	Detected in all			Low region specificity	Detected in all			CAB025798	Supported				Secreted to blood	Other	NA	NA	5940000	48000000000		Cluster 83: Liver - Metabolism	Cluster 44: Non-specific - Mixed function	Cluster 18: Liver cancer - Metabolism	Cluster 62: Hepatocytes - Metabolism	13			CAB025798: 	unprognostic (2.28e-1)	unprognostic (2.39e-1)	unprognostic (1.97e-1)	unprognostic (1.96e-1)	unprognostic (2.65e-2)	unprognostic (8.58e-3)	unprognostic (1.99e-1)	unprognostic (1.71e-1)	unprognostic (3.26e-2)	unprognostic (6.64e-2)	unprognostic (6.83e-4)	unprognostic (8.93e-3)	unprognostic (1.97e-1)	unprognostic (2.27e-2)	unprognostic (1.78e-2)	unprognostic (2.29e-1)	unprognostic (6.35e-2)	unprognostic (1.39e-2)	unprognostic (1.07e-2)	unprognostic (2.69e-2)		unprognostic (7.66e-3)	unprognostic (6.17e-2)	unprognostic (1.58e-1)	unprognostic (2.44e-1)	unprognostic (8.16e-2)	unprognostic (5.92e-2)	unprognostic (4.81e-3)	unprognostic (1.05e-1)	unprognostic (7.15e-2)	unprognostic (3.64e-2)
AHSG	A2HS, FETUA, HSGA	ENSG00000145192	Alpha 2-HS glycoprotein	P02765	3	186613060-186621318	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins	Mineral balance		Cancer-related genes, Disease variant, Hypotrichosis, Intellectual disability	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	4328	liver: 5638.7	Cell type enriched	Detected in some	14	Hepatocytes: 1120.0	Cell type enhanced	Detected in some		deep-layer corticothalamic and 6b: 1.6	Cancer enriched	Detected in some	234	Liver Hepatocellular Carcinoma (TCGA): 2018.7	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	18	liver cancer: 479.5	Liver - Hepatocytes, Testis - Late spermatids	Not detected	Not detected			Not detected	Not detected			HPA001524, HPA001525, CAB026209	Enhanced		Enhanced	Golgi apparatus	Secreted to blood	Other	NA	NA	8,64E+11	1,1E+11		Cluster 31: Liver - Plasma proteins		Cluster 18: Liver cancer - Metabolism	Cluster 62: Hepatocytes - Metabolism	8	Golgi apparatus		CAB026209: , HPA001524: AB_1078851, HPA001525: AB_1078849											unprognostic (5.38e-3)			unprognostic (3.71e-2)	unprognostic (3.67e-2)			unprognostic (1.16e-1)										unprognostic (2.76e-2)	unprognostic (5.63e-2)		
ALB		ENSG00000163631	Albumin	P02768	4	73397114-73421482	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins			Cancer-related genes, Disease variant, FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	136	liver: 205952.1	Cell type enriched	Detected in many	4	Hepatocytes: 59612.0	Low cell type specificity	Detected in many			Cancer enriched	Detected in many	422	Liver Hepatocellular Carcinoma (TCGA): 32792.0	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in many	24	liver cancer: 1846.4	Kidney - Proximal tubular cells, Liver - Hepatocytes	Not detected	Not detected			Low region specificity	Detected in all			CAB006262, HPA031024, HPA031025	Enhanced		Approved	Endoplasmic reticulum,Golgi apparatus	Secreted to blood	Transport	NA	NA	4E+13			Cluster 31: Liver - Plasma proteins	Cluster 33: Neurons - Mixed function	Cluster 18: Liver cancer - Metabolism	Cluster 43: Hepatocytes - Metabolism	24	Endoplasmic reticulum, Golgi apparatus		CAB006262: AB_425297, HPA031024: AB_2673703, HPA031025: AB_2673704	unprognostic (6.95e-3)	unprognostic (2.75e-1)	unprognostic (7.30e-2)	unprognostic (6.46e-2)							unprognostic (2.52e-4)	unprognostic (3.74e-4)	unprognostic (2.18e-1)	unprognostic (1.74e-2)	unprognostic (3.65e-3)	unprognostic (1.17e-2)	unprognostic (7.29e-2)	unprognostic (2.57e-1)	unprognostic (3.58e-1)			unprognostic (4.51e-2)	unprognostic (4.52e-4)	unprognostic (3.56e-2)	unprognostic (2.35e-1)		unprognostic (3.31e-1)	unprognostic (1.95e-3)	unprognostic (5.35e-2)		unprognostic (2.61e-1)
AMBP	EDC1, HCP, HI30, IATIL, ITI, ITIL, ITILC, UTI	ENSG00000106927	Alpha-1-microglobulin/bikunin precursor	P02760	9	114060127-114078328	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Host-virus interaction	Oxidoreductase, Protease inhibitor, Serine protease inhibitor		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	68	liver: 10607.0	Group enriched	Detected in many	23	"Cholangiocytes: 2459.2;Hepatocytes: 9092.4"	Cell type enriched	Detected in some	7	ependymal cell: 10.4	Cancer enriched	Detected in many	111	Liver Hepatocellular Carcinoma (TCGA): 4655.8	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	8	liver cancer: 556.5	Breast - Breast glandular cells, Liver - Hepatocytes, Testis - Late spermatids	Not detected	Not detected			Low region specificity	Detected in all			HPA001497, CAB069436, HPA075585	Approved		Approved	Golgi apparatus,Vesicles,Cytosol	Secreted to blood	Enzyme	NA	NA	3300000000	40000000000		Cluster 31: Liver - Plasma proteins		Cluster 18: Liver cancer - Metabolism	Cluster 43: Hepatocytes - Metabolism	4	Vesicles	Golgi apparatus, Cytosol	CAB069436: AB_1611916, HPA001497: AB_1078144, HPA075585: 		unprognostic (8.76e-2)	unprognostic (8.75e-3)		unprognostic (4.05e-2)						unprognostic (2.81e-3)	unprognostic (2.05e-1)	unprognostic (1.38e-3)	unprognostic (1.52e-2)	unprognostic (8.18e-3)	unprognostic (1.53e-2)	unprognostic (2.91e-1)	unprognostic (2.68e-2)		unprognostic (1.15e-2)		unprognostic (1.81e-1)	unprognostic (1.01e-2)		unprognostic (2.78e-1)		unprognostic (4.70e-1)	unprognostic (1.25e-3)	unprognostic (5.63e-2)		unprognostic (4.58e-1)
ANG	RAA1, RNASE5	ENSG00000214274	Angiogenin	P03950	14	20684177-20698971	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins	Angiogenesis, Differentiation, Stress response	Developmental protein, DNA-binding, Endonuclease, Hydrolase, Nuclease, Protein synthesis inhibitor	Amyotrophic lateral sclerosis, Cancer-related genes, Disease variant, Neurodegeneration	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in all	52	liver: 2920.4	Cell type enriched	Detected in many	25	Hepatocytes: 5169.3	Not detected	Not detected			Cancer enriched	Detected in all	16	Liver Hepatocellular Carcinoma (TCGA): 708.5	Low region specificity	Detected in all			Immune cell enhanced	Detected in many		"classical monocyte: 24.6;myeloid DC: 14.6"	Low lineage specificity	Detected in many			Low cancer specificity	Detected in all			Heart muscle - Fibroblasts, Liver - Hepatocytes, Liver - Hepatocytes, Minor Salivary Gland - Minor salivary glandular cells, Stomach - Gastric mucous cells, Testis - Sertoli cells	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA055896			Approved	Nucleoli,Nucleoli rim,Mitotic chromosome,Actin filaments	Secreted to blood	Developmental protein	Yes	No	308000000	260000000	Cluster 2: Dendritic cells - Unknown function	Cluster 31: Liver - Plasma proteins	Cluster 39: Astrocytes - Mixed function	Cluster 2: Mucus-secreting cells - Unknown function	Cluster 43: Hepatocytes - Metabolism	8	Nucleoli, Nucleoli rim, Mitotic chromosome	Actin filaments	HPA055896: 	unprognostic (1.12e-1)	unprognostic (3.02e-1)	unprognostic (6.76e-2)	unprognostic (3.64e-2)	unprognostic (1.24e-1)	unprognostic (2.14e-1)	unprognostic (5.81e-4)	unprognostic (1.28e-2)	unprognostic (6.31e-2)	unprognostic (5.09e-2)	unprognostic (1.05e-5)	unprognostic (2.99e-6)	unprognostic (3.77e-2)	unprognostic (3.26e-5)	unprognostic (4.31e-4)	unprognostic (5.92e-2)	unprognostic (1.66e-1)	unprognostic (5.14e-2)	unprognostic (6.93e-2)	unprognostic (7.36e-2)	unprognostic (3.30e-1)	unprognostic (3.06e-1)	unprognostic (1.79e-3)	unprognostic (3.00e-1)	unprognostic (2.61e-1)	unprognostic (4.18e-6)	unprognostic (2.11e-2)	unprognostic (1.19e-2)	unprognostic (1.09e-1)	unprognostic (7.09e-2)	unprognostic (8.92e-2)
ANGPTL3	ANGPT5	ENSG00000132855	Angiopoietin like 3	Q9Y5C1	1	62597520-62606313	Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted secreted proteins	Angiogenesis, Cell adhesion, Lipid metabolism	Heparin-binding	FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	13	liver: 655.3	Group enriched	Detected in some	22	"Hepatocytes: 694.2;Proximal tubular cells: 210.2"	Cell type enhanced	Detected in single		astrocyte: 1.4	Cancer enriched	Detected in some	25	Liver Hepatocellular Carcinoma (TCGA): 106.8	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in single	39	liver cancer: 9.2	Kidney - Proximal tubular cells, Liver - Hepatocytes, Liver - Hepatocytes, Stomach - Parietal cells	Not detected	Not detected			Low region specificity	Detected in all			HPA038097	Approved				Secreted to blood	Cell adhesion	NA	NA	225000000	88000000		Cluster 1: Liver & Kidney - Metabolism	Cluster 31: Non-specific - Transcription	Cluster 18: Liver cancer - Metabolism	Cluster 43: Hepatocytes - Metabolism				HPA038097: AB_10675628			unprognostic (2.65e-1)								unprognostic (1.09e-5)	unprognostic (2.43e-5)	unprognostic (2.44e-2)	unprognostic (6.31e-2)	unprognostic (3.98e-4)																
ANGPTL6	AGF, ARP5	ENSG00000130812	Angiopoietin like 6	Q8NI99	19	10092338-10102678	Plasma proteins, Predicted secreted proteins	Angiogenesis, Differentiation	Developmental protein		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	8	liver: 29.4	Cell type enriched	Detected in some	10	Granulosa cells: 109.3	Cell type enhanced	Detected in many		central nervous system macrophage: 6.1	Group enriched	Detected in some	5	"Glioblastoma Multiforme (TCGA): 1.6;Liver Hepatocellular Carcinoma (TCGA): 2.1;Prostate Adenocarcinoma (TCGA): 3.2;Testicular Germ Cell Tumor (TCGA): 3.7;Uterine Corpus Endometrial Carcinoma (TCGA): 4.7"	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Group enriched	Detected in some	7	"Leukemia: 13.2;lymphoma: 6.5"	Liver - Hepatic stellate cells, Spleen - B-cells (Spleen), Thyroid gland - T-cells	Low region specificity	Detected in all			Low region specificity	Detected in many								Secreted to blood	Developmental protein	NA	NA	450000	44000000	Cluster 16: Non-specific - Cell proliferation	Cluster 83: Liver - Metabolism	Cluster 20: Macrophages & Microglia - Immune response	Cluster 47: Leukemia - Hemostasis	Cluster 15: Non-specific - Mixed function							unprognostic (1.09e-2)				unprognostic (2.79e-1)							unprognostic (4.69e-2)	unprognostic (2.74e-3)									unprognostic (2.68e-1)					unprognostic (5.05e-2)		unprognostic (2.20e-2)
